id,name,members,buy_limit,value,high_alch,low_alch,examine
167,Super defence(1),1,2000,132,79,52,1 dose of super Defence potion.
169,Ranging potion(3),1,2000,288,172,115,3 doses of ranging potion.
171,Ranging potion(2),1,2000,216,129,86,2 doses of ranging potion.
173,Ranging potion(1),1,2000,144,86,57,1 dose of ranging potion.
175,Antipoison(3),0,2000,288,172,115,3 doses of antipoison potion.
177,Antipoison(2),0,2000,216,129,86,2 doses of antipoison potion.
179,Antipoison(1),0,2000,144,86,57,1 dose of antipoison potion.
181,Superantipoison(3),1,2000,288,172,115,3 doses of super antipoison potion.
183,Superantipoison(2),1,2000,216,129,86,2 doses of super antipoison potion.
185,Superantipoison(1),1,2000,144,86,57,1 dose of super antipoison potion.
187,Weapon poison,1,2000,144,86,57,For use on daggers and projectiles.
189,Zamorak brew(3),1,2000,175,105,70,3 doses of Zamorak brew.
191,Zamorak brew(2),1,2000,150,90,60,2 doses of Zamorak brew.
193,Zamorak brew(1),1,2000,125,75,50,1 dose of Zamorak brew.
197,Poison chalice,1,2000,20,12,8,A cup of a strange brew...
199,Grimy guam leaf,1,13000,13,7,5,It needs cleaning.
201,Grimy marrentill,1,13000,14,8,5,It needs cleaning.
203,Grimy tarromin,1,13000,15,9,6,It needs cleaning.
205,Grimy harralander,1,13000,16,9,6,It needs cleaning.
207,Grimy ranarr weed,1,11000,30,18,12,It needs cleaning.
209,Grimy irit leaf,1,13000,17,10,6,It needs cleaning.
211,Grimy avantoe,1,13000,18,10,7,It needs cleaning.
213,Grimy kwuarm,1,13000,20,12,8,It needs cleaning.
215,Grimy cadantine,1,11000,22,13,8,It needs cleaning.
217,Grimy dwarf weed,1,11000,24,14,9,It needs cleaning.
219,Grimy torstol,1,11000,25,15,10,It needs cleaning.
221,Eye of newt,0,13000,3,1,1,It seems to be looking at me.
223,Red spiders' eggs,0,13000,7,4,2,Ewww!
225,Limpwurt root,0,13000,7,4,2,The root of a limpwurt plant.
227,Vial of water,0,13000,2,1,1,A glass vial containing water.
229,Vial,0,13000,2,1,1,An empty glass vial.
231,Snape grass,1,13000,10,6,4,Strange spiky grass.
233,Pestle and mortar,1,40,4,2,1,I can grind things for potions in this.
235,Unicorn horn dust,1,13000,20,12,8,Finely ground horn of Unicorn.
237,Unicorn horn,1,13000,20,12,8,This horn has restorative properties.
239,White berries,1,13000,10,6,4,"Sour berries, used in potions."
241,Dragon scale dust,1,13000,52,31,20,Finely ground scale of Dragon.
243,Blue dragon scale,1,13000,50,30,20,A large shiny scale.
245,Wine of Zamorak,0,11000,1,1,1,An evil wine for an evil god.
247,Jangerberries,1,13000,1,1,1,They don't look very ripe.
249,Guam leaf,1,13000,3,1,1,A bitter green herb.
251,Marrentill,1,13000,5,3,2,A herb used in poison cures.
253,Tarromin,1,13000,11,6,4,A useful herb.
255,Harralander,1,13000,20,12,8,A useful herb.
257,Ranarr weed,1,11000,25,15,10,A useful herb.
259,Irit leaf,1,13000,40,24,16,A useful herb.
261,Avantoe,1,13000,48,28,19,A useful herb.
263,Kwuarm,1,13000,54,32,21,A powerful herb.
265,Cadantine,1,11000,65,39,26,A powerful herb.
267,Dwarf weed,1,11000,70,42,28,A powerful herb.
269,Torstol,1,11000,75,45,30,A powerful herb.
272,Fish food,0,15,1,1,1,Keeps your pet fish strong and healthy.
273,Poison (item),0,15,1,1,1,This stuff looks nasty.
288,Goblin mail,0,15,40,24,16,Some brown armour designed to fit goblins.
299,Mithril seeds,1,18000,200,120,80,Magical seeds in a mithril case.
301,Lobster pot,0,40,20,12,8,Useful for catching lobsters.
303,Small fishing net,0,40,5,3,2,Useful for catching small fish.
305,Big fishing net,1,40,20,12,8,Useful for catching lots of fish.
307,Fishing rod,0,40,5,3,2,Useful for catching sardine or herring.
309,Fly fishing rod,0,40,5,3,2,Useful for catching salmon or trout.
311,Harpoon,0,40,5,3,2,Useful for catching really big fish.
313,Fishing bait,0,8000,3,1,1,For use with a fishing rod.
314,Feather,0,30000,2,1,1,Used for fly fishing.
315,Shrimps,0,6000,5,3,2,Some nicely cooked shrimp.
317,Raw shrimps,0,15000,5,3,2,I should try cooking this.
319,Anchovies,0,15000,15,9,6,Some nicely cooked anchovies.
321,Raw anchovies,0,13000,15,9,6,I should try cooking this.
325,Sardine,0,6000,10,6,4,Some nicely cooked sardines.
327,Raw sardine,0,15000,10,6,4,I should try cooking this.
329,Salmon,0,6000,30,18,12,Some nicely cooked salmon.
331,Raw salmon,0,15000,30,18,12,I should try cooking this.
333,Trout,0,6000,10,6,4,Some nicely cooked trout.
335,Raw trout,0,15000,10,6,4,I should try cooking this.
339,Cod,1,6000,10,6,4,Some nicely cooked cod.
341,Raw cod,1,15000,10,6,4,I should try cooking this.
345,Raw herring,0,15000,10,6,4,I should try cooking this.
347,Herring,0,6000,10,6,4,Some nicely cooked herring.
349,Raw pike,0,15000,20,12,8,I should try cooking this.
351,Pike,0,6000,20,12,8,Some nicely cooked pike.
353,Raw mackerel,1,15000,15,9,6,I should try cooking this.
355,Mackerel,1,6000,15,9,6,Some nicely cooked mackerel.
359,Raw tuna,0,15000,40,24,16,I should try cooking this.
361,Tuna,0,6000,40,24,16,"Wow, this is a big fish."
363,Raw bass,1,15000,40,24,16,I should try cooking this.
365,Bass,1,6000,40,24,16,"Wow, this is a big fish."
371,Raw swordfish,0,15000,80,48,32,I should try cooking this.
373,Swordfish,0,6000,80,48,32,I'd better be careful eating this!
377,Raw lobster,0,15000,70,42,28,I should try cooking this.
379,Lobster,0,6000,70,42,28,This looks tricky to eat.
383,Raw shark,1,15000,170,102,68,I should try cooking this.
385,Shark,1,10000,170,102,68,I'd better be careful eating this.
389,Raw manta ray,1,15000,200,120,80,A rare catch.
391,Manta ray,1,10000,200,120,80,A rare catch.
395,Raw sea turtle,1,15000,200,120,80,A rare catch.
397,Sea turtle,1,10000,200,120,80,Tasty!
401,Seaweed,1,13000,2,1,1,Slightly damp seaweed.
403,Edible seaweed,1,13000,2,1,1,Slightly damp seaweed.
405,Casket,1,50,50,30,20,I hope there's treasure in it.
407,Oyster,1,11000,200,120,80,Maybe there are pearls inside?
411,Oyster pearl,1,11000,112,67,44,I could work wonders with a chisel on this pearl.
413,Oyster pearls,1,11000,1400,840,560,I could work wonders with a chisel on these pearls.
426,Priest gown (top),0,150,5,3,2,Top half of a priest suit.
428,Priest gown (bottom),0,150,5,3,2,Bottom half of a priest suit.
434,Clay,0,13000,1,1,1,Some hard dry clay.
436,Copper ore,0,13000,3,1,1,This needs refining.
438,Tin ore,0,13000,3,1,1,This needs refining.
440,Iron ore,0,13000,17,10,6,This needs refining.
442,Silver ore,0,13000,75,45,30,This needs refining.
444,Gold ore,0,30000,150,90,60,This needs refining.
447,Mithril ore,0,13000,162,97,64,This needs refining.
449,Adamantite ore,0,4500,400,240,160,This needs refining.
451,Runite ore,0,4500,3200,1920,1280,This needs refining.
453,Coal,0,13000,45,27,18,Hmm a non-renewable energy source!
464,Strange fruit,1,2000,1,1,1,I wonder what this tastes like?
526,Bones,0,3000,1,1,1,Bones are for burying!
528,Burnt bones,0,3000,1,1,1,Bones are for burying!
530,Bat bones,1,3000,1,1,1,Ew it's a pile of bones.
532,Big bones,0,3000,1,1,1,Ew it's a pile of bones.
534,Babydragon bones,1,3000,1,1,1,Ew it's a pile of bones.
536,Dragon bones,1,7500,160,96,64,These would feed a dog for months!
538,Druid's robe,1,125,30,18,12,Keeps a druid's knees nice and warm.
540,Druid's robe top,1,125,40,24,16,I feel closer to the gods when I am wearing this.
542,Monk's robe,0,125,30,18,12,Keeps a monk's knees nice and warm.
544,Monk's robe top,0,125,40,24,16,I feel closer to the gods when I am wearing this.
546,Shade robe top,0,125,40,24,16,I feel closer to the gods when I am wearing this.
548,Shade robe,0,125,30,18,12,"If a shade had knees, this would keep them nice and warm."
554,Fire rune,0,50000,4,2,1,One of the 4 basic elemental Runes.
555,Water rune,0,50000,4,2,1,One of the 4 basic elemental Runes.
556,Air rune,0,50000,4,2,1,One of the 4 basic elemental Runes.
557,Earth rune,0,50000,4,2,1,One of the 4 basic elemental Runes.
558,Mind rune,0,18000,3,1,1,Used for basic level missile spells.
559,Body rune,0,18000,3,1,1,Used for curse spells.
560,Death rune,0,25000,180,108,72,Used for medium level missile spells.
561,Nature rune,0,18000,180,108,72,Used for alchemy spells.
562,Chaos rune,0,18000,90,54,36,Used for low level missile spells.
563,Law rune,0,18000,240,144,96,Used for teleport spells.
564,Cosmic rune,0,18000,50,30,20,Used for enchant spells.
565,Blood rune,1,25000,400,240,160,Used for high level missile spells.
566,Soul rune,1,25000,300,180,120,Used for high level curse spells.
567,Unpowered orb,1,10000,100,60,40,I'd prefer it if it was powered.
569,Fire orb,1,11000,300,180,120,A magic glowing orb.
571,Water orb,1,11000,300,180,120,A magic glowing orb.
573,Air orb,1,11000,300,180,120,A magic glowing orb.
575,Earth orb,1,11000,300,180,120,A magic glowing orb.
577,Blue wizard robe,0,125,15,9,6,I can do magic better in this.
579,Blue wizard hat,0,125,2,1,1,A silly pointed hat.
581,Black robe,0,125,13,7,5,I can do magic better in this.
590,Tinderbox,0,40,1,1,1,Useful for lighting a fire.
592,Ashes,0,13000,2,1,1,A heap of ashes.
596,Unlit torch,1,40,4,2,1,An unlit home-made torch.
621,Ship ticket,1,18000,5,3,2,Allows you passage on the 'Lady of the waves' ship.
626,Pink boots,1,150,200,120,80,"They're soft, silky and pink."
628,Green boots,1,150,200,120,80,"They're soft, silky and green."
630,Blue boots,1,150,200,120,80,"They're soft, silky and blue."
632,Cream boots,1,150,200,120,80,"They're soft, silky and cream."
634,Turquoise boots,1,150,200,120,80,"They're soft, silky and turquoise."
636,Pink robe top,1,150,180,108,72,"The ultimate in gnome design, now in pink!"
638,Green robe top,1,150,180,108,72,"The ultimate in gnome design, now in green!"
640,Blue robe top,1,150,180,108,72,"The ultimate in gnome design, now in blue!"
642,Cream robe top,1,150,180,108,72,"The ultimate in gnome design, now in cream!"
644,Turquoise robe top,1,150,180,108,72,"The ultimate in gnome design, now in turquoise!"
646,Pink robe bottoms,1,150,180,108,72,Made by Tree Gnomes with a thing for pink.
648,Green robe bottoms,1,150,180,108,72,Made by Tree Gnomes with a thing for green.
650,Blue robe bottoms,1,150,180,108,72,Made by Tree Gnomes with a thing for blue.
652,Cream robe bottoms,1,150,180,108,72,Made by Tree Gnomes with a thing for cream.
654,Turquoise robe bottoms,1,150,180,108,72,Made by Tree Gnomes with a thing for turquoise.
656,Pink hat,1,150,160,96,64,A silly pink pointed hat.
658,Green hat,1,150,160,96,64,A silly green pointed hat.
660,Blue hat,1,150,160,96,64,A silly blue pointed hat.
662,Cream hat,1,150,160,96,64,A silly cream pointed hat.
664,Turquoise hat,1,150,160,96,64,A silly turquoise pointed hat.
751,Gnomeball,1,150,1,1,1,A ball used in Gnomeball.
753,Cadava berries,0,600,1,1,1,Poisonous berries.
800,Bronze thrownaxe,1,7000,3,1,1,A finely balanced throwing axe.
801,Iron thrownaxe,1,7000,7,4,2,A finely balanced throwing axe.
802,Steel thrownaxe,1,7000,26,15,10,A finely balanced throwing axe.
803,Mithril thrownaxe,1,7000,70,42,28,A finely balanced throwing axe.
804,Adamant thrownaxe,1,11000,176,105,70,A finely balanced throwing axe.
805,Rune thrownaxe,1,11000,440,264,176,A finely balanced throwing axe.
806,Bronze dart,1,7000,1,1,1,A deadly throwing dart with a bronze tip.
807,Iron dart,1,7000,2,1,1,A deadly throwing dart with an iron tip.
808,Steel dart,1,7000,10,6,4,A deadly throwing dart with a steel tip.
809,Mithril dart,1,7000,25,15,10,A deadly throwing dart with a mithril tip.
810,Adamant dart,1,11000,65,39,26,A deadly throwing dart with an adamant tip.
811,Rune dart,1,11000,350,210,140,A deadly throwing dart with a rune tip.
812,Bronze dart(p),1,7000,1,1,1,A deadly poisoned dart with a bronze tip.
813,Iron dart (p),1,7000,2,1,1,A deadly poisoned dart with an iron tip.
814,Steel dart(p),1,7000,10,6,4,A deadly poisoned dart with a steel tip.
815,Mithril dart(p),1,7000,25,15,10,A deadly poisoned dart with a mithril tip.
816,Adamant dart(p),1,11000,65,39,26,A deadly poisoned dart with an adamant tip.
817,Rune dart(p),1,11000,350,210,140,A deadly poisoned dart with a rune tip.
819,Bronze dart tip,1,13000,1,1,1,A deadly looking dart tip made of bronze - needs feathers for flight.
820,Iron dart tip,1,13000,3,1,1,A deadly looking dart tip made of iron - needs feathers for flight.
821,Steel dart tip,1,13000,5,3,2,A deadly-looking dart tip made of steel - needs feathers for flight.
822,Mithril dart tip,1,20000,12,7,4,A deadly looking dart tip made of mithril - needs feathers for flight.
823,Adamant dart tip,1,20000,36,21,14,A deadly-looking dart tip made of adamant - needs feathers for flight.
824,Rune dart tip,1,11000,175,105,70,A deadly-looking dart tip made of runite - needs feathers for flight.
825,Bronze javelin,1,7000,4,2,1,A bronze tipped javelin.
826,Iron javelin,1,7000,6,3,2,An iron tipped javelin.
827,Steel javelin,1,7000,24,14,9,A steel tipped javelin.
828,Mithril javelin,1,7000,64,38,25,A mithril tipped javelin.
829,Adamant javelin,1,11000,160,96,64,An adamant tipped javelin.
830,Rune javelin,1,11000,400,240,160,A rune tipped javelin.
831,Bronze javelin(p),1,7000,4,2,1,A bronze tipped javelin.
832,Iron javelin(p),1,7000,6,3,2,An iron tipped javelin.
833,Steel javelin(p),1,7000,24,14,9,A steel tipped javelin.
834,Mithril javelin(p),1,7000,64,38,25,A mithril tipped javelin.
835,Adamant javelin(p),1,11000,160,96,64,An adamant tipped javelin.
836,Rune javelin(p),1,7000,400,240,160,A rune tipped javelin.
837,Crossbow,0,125,70,42,28,This fires crossbow bolts.
839,Longbow,0,18000,80,48,32,A nice sturdy bow.
841,Shortbow,0,18000,50,30,20,Short but effective.
843,Oak shortbow,0,18000,100,60,40,"A shortbow made out of oak, still effective."
845,Oak longbow,0,18000,160,96,64,A nice sturdy bow made out of oak.
847,Willow longbow,0,18000,320,192,128,A nice sturdy bow made out of willow.
849,Willow shortbow,0,18000,200,120,80,"A shortbow made out of willow, still effective."
851,Maple longbow,0,18000,640,384,256,A nice sturdy bow made out of Maple.
853,Maple shortbow,0,18000,400,240,160,"A shortbow made out of Maple, still effective."
855,Yew longbow,1,18000,1280,768,512,A nice sturdy bow made out of yew.
857,Yew shortbow,1,18000,800,480,320,"A shortbow made out of yew, still effective."
859,Magic longbow,1,18000,2560,1536,1024,A nice sturdy magical bow.
861,Magic shortbow,1,18000,1600,960,640,"Short and magical, but still effective."
863,Iron knife,1,7000,3,1,1,A finely balanced throwing knife.
864,Bronze knife,1,7000,1,1,1,A finely balanced throwing knife.
865,Steel knife,1,7000,11,6,4,A finely balanced throwing knife.
866,Mithril knife,1,7000,27,16,10,A finely balanced throwing knife.
867,Adamant knife,1,11000,66,39,26,A finely balanced throwing knife.
868,Rune knife,1,11000,167,100,66,A finely balanced throwing knife.
869,Black knife,1,7000,19,11,7,A finely balanced throwing knife.
870,Bronze knife(p),1,7000,1,1,1,A finely balanced throwing knife.
871,Iron knife(p),1,7000,3,1,1,A finely balanced throwing knife.
872,Steel knife(p),1,7000,10,6,4,A finely balanced throwing knife.
873,Mithril knife(p),1,7000,27,16,10,A finely balanced throwing knife.
874,Black knife(p),1,7000,18,10,7,A finely balanced throwing knife.
875,Adamant knife(p),1,11000,66,39,26,A finely balanced throwing knife.
876,Rune knife(p),1,7000,166,99,66,A finely balanced throwing knife.
877,Bronze bolts,0,7000,0,1,1,Bronze crossbow bolts.
878,Bronze bolts (p),1,11000,0,1,1,Some poisoned bronze bolts.
879,Opal bolts,1,11000,7,4,2,Opal tipped Bronze crossbow bolts.
880,Pearl bolts,1,11000,13,7,5,Pearl tipped Iron crossbow bolts.
881,Barbed bolts,1,7000,200,120,80,Great if you have a crossbow!
882,Bronze arrow,0,7000,1,1,1,Arrows with bronze heads.
883,Bronze arrow(p),1,7000,1,1,1,Venomous-looking arrows.
884,Iron arrow,0,7000,3,1,1,Arrows with iron heads.
885,Iron arrow(p),1,7000,3,1,1,Venomous-looking arrows.
886,Steel arrow,0,7000,12,7,4,Arrows with steel heads.
887,Steel arrow(p),1,7000,12,7,4,Venomous-looking arrows.
888,Mithril arrow,0,7000,32,19,12,Arrows with mithril heads.
889,Mithril arrow(p),1,7000,32,19,12,Venomous-looking arrows.
890,Adamant arrow,0,11000,80,48,32,Arrows with adamant heads.
891,Adamant arrow(p),1,11000,80,48,32,Venomous-looking arrows.
892,Rune arrow,1,11000,400,240,160,Arrows with rune heads.
893,Rune arrow(p),1,11000,400,240,160,Venomous-looking arrows.
946,Knife,0,40,6,3,2,A dangerous looking knife.
948,Bear fur,0,18000,10,6,4,This would make warm clothing.
950,Silk,0,18000,30,18,12,It's a sheet of silk.
952,Spade,0,40,3,1,1,A slightly muddy spade.
954,Rope,0,250,18,10,7,A coil of rope.
958,Grey wolf fur,1,18000,50,30,20,This would make warm clothing.
960,Plank,0,13000,1,1,1,A plank of wood!
962,Christmas cracker,0,4,1,1,1,I need to pull this.
970,Papyrus,1,13000,10,6,4,Used for making notes.
973,Charcoal,0,13000,45,27,18,A lump of charcoal.
975,Machete,1,15,40,24,16,A jungle specific slashing device.
981,Disk of Returning,0,50,120,72,48,Used to get out of Thordur's blackhole.
983,Brass key,0,15,1,1,1,Opens a door that leads into a dungeon.
985,Tooth half of key,1,11000,100,60,40,The tooth end of the mysterious Crystal Key. Can you find the other half?
987,Loop half of key,1,11000,100,60,40,The loop end of the mysterious Crystal Key. Can you find the other half?
989,Crystal key,1,11000,150,90,60,A mysterious key for a mysterious chest.
991,Muddy key,0,11000,80,48,32,It looks like the key to a chest.
993,Sinister key,1,11000,80,48,32,You get a sense of dread from this key.
1005,White apron,0,150,2,1,1,A mostly clean apron.
1007,Red cape,0,150,2,1,1,A bright red cape.
1009,Brass necklace,0,150,30,18,12,I'd prefer a gold one.
1011,Blue skirt,0,150,2,1,1,Leg covering favoured by women and wizards.
1013,Pink skirt,0,150,2,1,1,A ladies skirt.
1015,Black skirt,0,150,2,1,1,Clothing favoured by women and dark wizards.
1017,Wizard hat,0,125,2,1,1,A silly pointed hat.
1019,Black cape,0,150,7,4,2,A warm black cape.
1021,Blue cape,0,150,32,19,12,A thick blue cape.
1023,Yellow cape,0,150,32,19,12,A thick yellow cape.
1025,Right eye patch,1,150,2,1,1,A black piece of cloth on a string.
1027,Green cape,0,150,32,19,12,A thick green cape.
1029,Purple cape,0,150,32,19,12,A thick purple cape.
1031,Orange cape,0,150,32,19,12,A thick orange cape.
1033,Zamorak monk bottom,0,15,30,18,12,A robe worn by worshippers of Zamorak.
1035,Zamorak monk top,0,15,40,24,16,A robe worn by worshippers of Zamorak.
1038,Red partyhat,0,5,1,1,1,A nice hat from a cracker.
1040,Yellow partyhat,0,5,1,1,1,A nice hat from a cracker.
1042,Blue partyhat,0,5,1,1,1,A nice hat from a cracker.
1044,Green partyhat,0,5,1,1,1,A nice hat from a cracker.
1046,Purple partyhat,0,5,1,1,1,A nice hat from a cracker.
1048,White partyhat,0,5,1,1,1,A nice hat from a cracker.
1050,Santa hat,0,5,160,96,64,It's a Santa hat.
1053,Green halloween mask,0,5,15,9,6,Aaaarrrghhh ... I'm a monster.
1055,Blue halloween mask,0,5,15,9,6,Aaaarrrghhh ... I'm a monster.
1057,Red halloween mask,0,5,15,9,6,Aaaarrrghhh ... I'm a monster.
1059,Leather gloves,0,125,6,3,2,These will keep my hands warm!
1061,Leather boots,0,125,6,3,2,Comfortable leather boots.
1063,Leather vambraces,0,125,18,10,7,Better than no armour!
1065,Green d'hide vambraces,0,125,2500,1500,1000,Vambraces made from 100% real dragonhide.
1067,Iron platelegs,0,125,280,168,112,These look pretty heavy.
1069,Steel platelegs,0,125,1000,600,400,These look pretty heavy.
1071,Mithril platelegs,0,125,2600,1560,1040,These look pretty heavy.
1073,Adamant platelegs,0,125,6400,3840,2560,These look pretty heavy.
1075,Bronze platelegs,0,125,80,48,32,These look pretty heavy.
1077,Black platelegs,0,125,1920,1152,768,"Big, black and heavy looking."
1079,Rune platelegs,0,70,64000,38400,25600,These look pretty heavy.
1081,Iron plateskirt,0,125,280,168,112,Designer leg protection.
1083,Steel plateskirt,0,125,1000,600,400,Designer leg protection.
1085,Mithril plateskirt,0,125,2600,1560,1040,Designer leg protection.
1087,Bronze plateskirt,0,125,80,48,32,Designer leg protection.
1089,Black plateskirt,0,125,1920,1152,768,"Big, black and heavy looking."
1091,Adamant plateskirt,0,125,6400,3840,2560,Designer leg protection.
1093,Rune plateskirt,0,70,64000,38400,25600,Designer leg protection.
1095,Leather chaps,0,125,20,12,8,Better than no armour!
1097,Studded chaps,0,125,750,450,300,Those studs should provide a bit more protection.
1099,Green d'hide chaps,0,125,3900,2340,1560,Made from 100% real dragonhide.
1101,Iron chainbody,0,125,210,126,84,A series of connected metal rings.
1103,Bronze chainbody,0,125,60,36,24,A series of connected metal rings.
1105,Steel chainbody,0,125,750,450,300,A series of connected metal rings.
1107,Black chainbody,0,125,1440,864,576,A series of connected metal rings.
1109,Mithril chainbody,0,125,1950,1170,780,A series of connected metal rings.
1111,Adamant chainbody,0,125,4800,2880,1920,A series of connected metal rings.
1113,Rune chainbody,0,70,50000,30000,20000,A series of connected metal rings.
1115,Iron platebody,0,125,560,336,224,Provides excellent protection.
1117,Bronze platebody,0,125,160,96,64,Provides excellent protection.
1119,Steel platebody,0,125,2000,1200,800,Provides excellent protection.
1121,Mithril platebody,0,125,5200,3120,2080,Provides excellent protection.
1123,Adamant platebody,0,125,16640,9984,6656,Provides excellent protection.
1125,Black platebody,0,125,3840,2304,1536,Provides excellent protection.
1127,Rune platebody,0,70,65000,39000,26000,Provides excellent protection.
1129,Leather body,0,125,21,12,8,Better than no armour!
1131,Hardleather body,0,125,170,102,68,Harder than normal leather.
1133,Studded body,0,125,850,510,340,Those studs should provide a bit more protection.
1135,Green d'hide body,0,125,7800,4680,3120,Made from 100% real dragonhide.
1137,Iron med helm,0,125,84,50,33,A medium sized helmet.
1139,Bronze med helm,0,125,24,14,9,A medium sized helmet.
1141,Steel med helm,0,125,300,180,120,A medium sized helmet.
1143,Mithril med helm,0,125,780,468,312,A medium sized helmet.
1145,Adamant med helm,0,125,1920,1152,768,A medium sized helmet.
1147,Rune med helm,0,70,19200,11520,7680,A medium sized helmet.
1149,Dragon med helm,1,8,100000,60000,40000,Makes the wearer pretty intimidating.
1151,Black med helm,0,125,576,345,230,A medium sized helmet.
1153,Iron full helm,0,125,154,92,61,A full face helmet.
1155,Bronze full helm,0,125,44,26,17,A full face helmet.
1157,Steel full helm,0,125,550,330,220,A full face helmet.
1159,Mithril full helm,0,125,1430,858,572,A full face helmet.
