id,name,runelite_const,config_name,members,tradeable,ge_tradeable,stackable,noted_id,placeholder_id,value,high_alch,low_alch,ge_buy_limit,weight_g,inventory_ops,ground_ops,examine,params
24,Rat poison,RAT_POISON,rat_poison,1,0,0,0,,16603,1,,,,141,Drop,Take,Doesn't look very tasty.,
25,Red vine worm,RED_VINE_WORM,red_vine_worm,1,0,0,1,,16943,1,,,,0,Drop,Take,Wormy.,
26,Fishing trophy,HEMENSTER_FISHING_TROPHY,hemenster_fishing_trophy,1,0,0,0,,16944,1,,,,85,Drop,Take,Hemenster fishing contest trophy.,
27,Fishing pass,FISHING_COMPETITION_PASS,fishing_competition_pass,1,0,0,0,,16945,1,,,,6,Drop,Take,Pass to the Hemenster fishing contest.,
28,Insect repellent,INSECT_REPELLENT,insect_repellent,1,1,1,0,29,16521,3,1,1,15,28,Drop,Take,Drives away all known 6 legged creatures.,
29,null,Cert.INSECT_REPELLENT,cert_insect_repellent,0,1,0,0,28,-1,1,,,,0,Drop,Take,,
30,Bucket of wax,BUCKET_WAX,bucket_wax,1,1,1,0,31,16522,6,3,2,15,2500,Drop,Take,It's a bucket of wax.,
31,null,Cert.BUCKET_WAX,cert_bucket_wax,0,1,0,0,30,-1,1,,,,0,Drop,Take,,
32,Lit black candle,LIT_BLACK_CANDLE,lit_black_candle,1,0,0,0,,16523,3,,,,28,Extinguish|Drop,Take,A lit spooky candle.,
33,Lit candle,LIT_CANDLE,lit_candle,1,0,0,0,,16524,3,,,,28,Extinguish|Drop,Take,A lit candle.,
34,Null,CERT_LIT_CANDLE,cert_lit_candle,0,0,0,1,,-1,0,,,,0,Drop,Take,null,
35,Excalibur,EXCALIBUR,excalibur,1,0,0,0,,16525,200,,,,2267,Wield|Drop,Take,This used to belong to King Arthur.,"{""0"":20,""1"":29,""2"":-2,""3"":0,""4"":0,""5"":0,""6"":3,""7"":2,""8"":1,""9"":0,""10"":25,""11"":0,""13"":0,""14"":5}"
36,Candle,UNLIT_CANDLE,unlit_candle,1,1,1,0,37,16526,3,1,1,40,28,Drop,Take,A candle.,
37,null,Cert.UNLIT_CANDLE,cert_unlit_candle,0,1,0,0,36,-1,1,,,,0,Drop,Take,,
38,Black candle,UNLIT_BLACK_CANDLE,unlit_black_candle,1,0,0,0,,16527,3,,,,28,Drop,Take,A spooky candle.,
39,Bronze arrowtips,BRONZE_ARROWHEADS,bronze_arrowheads,1,1,1,1,,18222,1,1,1,10000,0,Drop,Take,I can make some arrows with these.,
40,Iron arrowtips,IRON_ARROWHEADS,iron_arrowheads,1,1,1,1,,18223,2,1,1,10000,0,Drop,Take,I can make some arrows with these.,
41,Steel arrowtips,STEEL_ARROWHEADS,steel_arrowheads,1,1,1,1,,18224,6,3,2,10000,0,Drop,Take,I can make some arrows with these.,
42,Mithril arrowtips,MITHRIL_ARROWHEADS,mithril_arrowheads,1,1,1,1,,18225,16,9,6,10000,0,Drop,Take,I can make some arrows with these.,
43,Adamant arrowtips,ADAMANT_ARROWHEADS,adamant_arrowheads,1,1,1,1,,18226,40,24,16,10000,0,Drop,Take,I can make some arrows with these.,
44,Rune arrowtips,RUNE_ARROWHEADS,rune_arrowheads,1,1,1,1,,18227,200,120,80,10000,0,Drop,Take,I can make some arrows with these.,
45,Opal bolt tips,OPAL_BOLTTIPS,opal_bolttips,1,1,1,1,,15182,7,4,2,11000,0,Drop,Take,Opal bolt tips.,
46,Pearl bolt tips,PEARL_BOLTTIPS,pearl_bolttips,1,1,1,1,,15183,12,7,4,11000,0,Drop,Take,Pearl bolt tips.,
47,Barb bolttips,BARBED_BOLTTIPS,barbed_bolttips,1,1,1,1,,15184,95,57,38,11000,0,Drop,Take,I can make bolts with these.,
48,Longbow (u),UNSTRUNG_LONGBOW,unstrung_longbow,1,1,1,0,49,18229,60,36,24,10000,1332,Drop,Take,I need to find a string for this.,"{""434"":9,""436"":10}"
49,null,Cert.UNSTRUNG_LONGBOW,cert_unstrung_longbow,0,1,0,0,48,-1,1,,,,0,Drop,Take,,
50,Shortbow (u),UNSTRUNG_SHORTBOW,unstrung_shortbow,1,1,1,0,51,18230,23,13,9,10000,992,Drop,Take,I need to find a string for this.,"{""434"":9,""436"":5}"
51,null,Cert.UNSTRUNG_SHORTBOW,cert_unstrung_shortbow,0,1,0,0,50,-1,1,,,,0,Drop,Take,,
52,Arrow shaft,ARROW_SHAFT,arrow_shaft,1,1,1,1,,18231,1,1,1,7000,0,Drop,Take,A wooden arrow shaft.,
53,Headless arrow,HEADLESS_ARROW,headless_arrow,1,1,1,1,,18232,1,1,1,11000,0,Drop,Take,A wooden arrow shaft with flights attached.,
54,Oak shortbow (u),UNSTRUNG_OAK_SHORTBOW,unstrung_oak_shortbow,1,1,1,0,55,18233,50,30,20,10000,992,Drop,Take,An unstrung oak shortbow; I need a bowstring for this.,"{""434"":9,""436"":20}"
55,null,Cert.UNSTRUNG_OAK_SHORTBOW,cert_unstrung_oak_shortbow,0,1,0,0,54,-1,1,,,,0,Drop,Take,,
56,Oak longbow (u),UNSTRUNG_OAK_LONGBOW,unstrung_oak_longbow,1,1,1,0,57,18234,80,48,32,10000,1332,Drop,Take,An unstrung oak longbow; I need a bowstring for this.,"{""434"":9,""436"":25}"
57,null,Cert.UNSTRUNG_OAK_LONGBOW,cert_unstrung_oak_longbow,0,1,0,0,56,-1,1,,,,0,Drop,Take,,
58,Willow longbow (u),UNSTRUNG_WILLOW_LONGBOW,unstrung_willow_longbow,1,1,1,0,59,18235,160,96,64,10000,1332,Drop,Take,An unstrung willow longbow; I need a bowstring for this.,"{""434"":9,""436"":40}"
59,null,Cert.UNSTRUNG_WILLOW_LONGBOW,cert_unstrung_willow_longbow,0,1,0,0,58,-1,1,,,,0,Drop,Take,,
60,Willow shortbow (u),UNSTRUNG_WILLOW_SHORTBOW,unstrung_willow_shortbow,1,1,1,0,61,18236,100,60,40,10000,992,Drop,Take,An unstrung willow shortbow; I need a bowstring for this.,"{""434"":9,""436"":35}"
61,null,Cert.UNSTRUNG_WILLOW_SHORTBOW,cert_unstrung_willow_shortbow,0,1,0,0,60,-1,1,,,,0,Drop,Take,,
62,Maple longbow (u),UNSTRUNG_MAPLE_LONGBOW,unstrung_maple_longbow,1,1,1,0,63,18237,320,192,128,10000,1332,Drop,Take,An unstrung maple longbow; I need a bowstring for this.,"{""434"":9,""436"":55}"
63,null,Cert.UNSTRUNG_MAPLE_LONGBOW,cert_unstrung_maple_longbow,0,1,0,0,62,-1,1,,,,0,Drop,Take,,
64,Maple shortbow (u),UNSTRUNG_MAPLE_SHORTBOW,unstrung_maple_shortbow,1,1,1,0,65,18238,200,120,80,10000,992,Drop,Take,An unstrung maple shortbow; I need a bowstring for this.,"{""434"":9,""436"":50}"
65,null,Cert.UNSTRUNG_MAPLE_SHORTBOW,cert_unstrung_maple_shortbow,0,1,0,0,64,-1,1,,,,0,Drop,Take,,
66,Yew longbow (u),UNSTRUNG_YEW_LONGBOW,unstrung_yew_longbow,1,1,1,0,67,18239,640,384,256,10000,1332,Drop,Take,An unstrung yew longbow; I need a bowstring for this.,"{""434"":9,""436"":70}"
67,null,Cert.UNSTRUNG_YEW_LONGBOW,cert_unstrung_yew_longbow,0,1,0,0,66,-1,1,,,,0,Drop,Take,,
68,Yew shortbow (u),UNSTRUNG_YEW_SHORTBOW,unstrung_yew_shortbow,1,1,1,0,69,18240,400,240,160,10000,992,Drop,Take,An unstrung yew shortbow; I need a bowstring for this.,"{""434"":9,""436"":65}"
69,null,Cert.UNSTRUNG_YEW_SHORTBOW,cert_unstrung_yew_shortbow,0,1,0,0,68,-1,1,,,,0,Drop,Take,,
70,Magic longbow (u),UNSTRUNG_MAGIC_LONGBOW,unstrung_magic_longbow,1,1,1,0,71,18241,1280,768,512,10000,1332,Drop,Take,An unstrung magic longbow; I need a bowstring for this.,"{""434"":9,""436"":85}"
71,null,Cert.UNSTRUNG_MAGIC_LONGBOW,cert_unstrung_magic_longbow,0,1,0,0,70,-1,1,,,,0,Drop,Take,,
72,Magic shortbow (u),UNSTRUNG_MAGIC_SHORTBOW,unstrung_magic_shortbow,1,1,1,0,73,18242,800,480,320,10000,992,Drop,Take,An unstrung magic shortbow; I need a bowstring for this.,"{""434"":9,""436"":80}"
73,null,Cert.UNSTRUNG_MAGIC_SHORTBOW,cert_unstrung_magic_shortbow,0,1,0,0,72,-1,1,,,,0,Drop,Take,,
74,Khazard helmet,KHAZARD_HELMET,khazard_helmet,1,0,0,0,,17427,30,,,,2721,Wear|Drop,Take,"A helmet, as worn by the minions of General Khazard.","{""0"":0,""1"":0,""2"":0,""3"":0,""4"":0,""5"":4,""6"":5,""7"":3,""8"":0,""9"":0,""10"":0,""11"":0,""13"":0,""14"":0}"
75,Khazard armour,KHAZARD_PLATEMAIL,khazard_platemail,1,0,0,0,,17428,30,,,,566,Wear|Drop,Take,"Armour, as worn by the minions of General Khazard.","{""0"":0,""1"":0,""2"":0,""3"":0,""4"":0,""5"":9,""6"":11,""7"":10,""8"":0,""9"":0,""10"":0,""11"":0,""13"":0,""14"":0}"
76,Khazard cell keys,KHAZARD_CELLKEYS,khazard_cellkeys,1,0,0,0,,17429,30,,,,10,Destroy,Take,These keys open the cells at the Khazard fight arena (Used in the Fight Arena quest).,"{""295"":1}"
77,Khali brew,KHALI_BREW,khali_brew,1,0,0,0,,17430,5,,,,113,Drop,Take,A bottle of Khazard's worst brew.,
78,Ice arrows,ICE_ARROW,ice_arrow,1,0,0,1,,16449,2,,,,0,Wield|Drop,Take,"Can only be fired from yew, magic, dark or twisted bows.","{""23"":40,""12"":16}"
79,null,ICE_ARROW_4,ice_arrow_4,0,0,0,1,,-1,1,,,,0,Drop,Take,,
80,null,ICE_ARROW_3,ice_arrow_3,0,0,0,1,,-1,1,,,,0,Drop,Take,,
81,null,ICE_ARROW_2,ice_arrow_2,0,0,0,1,,-1,1,,,,0,Drop,Take,,
82,null,ICE_ARROW_5,ice_arrow_5,0,0,0,1,,-1,1,,,,0,Drop,Take,,
83,Lever,IKOV_LEVER,ikov_lever,1,0,0,0,,16450,15,,,,56,Drop,Take,A lever to open something perhaps?,
84,Staff of Armadyl,IKOV_STAFFOFARMARDYL,ikov_staffofarmardyl,1,0,0,0,,16451,1000,,,,1814,Drop,Take,The power in this staff causes it to vibrate gently.,"{""295"":1}"
85,Shiny key,IKOV_SHINYKEY,ikov_shinykey,1,0,0,0,,16452,1,,,,10,Drop,Take,It catches the light! (Quick access into the Temple of Ikov).,
86,Pendant of Lucien,IKOV_PENDANTOFLUCIEN,ikov_pendantoflucien,1,0,0,0,,16453,12,,,,10,Wear|Drop,Take,An amulet made by Lucien.,
87,Armadyl pendant,IKOV_PENDANTOFARMARDYL,ikov_pendantofarmardyl,1,0,0,0,,16454,12,,,,10,Wear|Drop,Take,Worn by followers of Armadyl.,
88,Boots of lightness,IKOV_BOOTSOFLIGHTNESS,ikov_bootsoflightness,1,0,0,0,,16455,6,,,,340,Wear|Drop,Take,Magic boots that make you lighter than normal.,"{""0"":0,""1"":0,""2"":0,""3"":0,""4"":0,""5"":1,""6"":1,""7"":1,""8"":0,""9"":0,""10"":0,""11"":0,""13"":0,""14"":0}"
89,Boots of lightness,IKOV_BOOTSOFLIGHTNESSWORN,ikov_bootsoflightnessworn,1,0,0,0,,-1,6,,,,-4535,Wear|Drop,Take,Magic boots that make you lighter than normal.,"{""0"":0,""1"":0,""2"":0,""3"":0,""4"":0,""5"":1,""6"":1,""7"":1,""8"":0,""9"":0,""10"":0,""11"":0,""13"":0,""14"":0}"
90,Child's blanket,CHILDS_BLANKET,childs_blanket,1,0,0,0,,17045,5,,,,907,Drop,Take,It's very soft!,
91,Guam potion (unf),GUAMVIAL,guamvial,1,1,1,0,92,19287,3,1,1,10000,56,Empty|Drop,Take,I need another ingredient to finish this Guam potion.,"{""434"":15,""436"":3}"
92,null,Cert.GUAMVIAL,cert_guamvial,0,1,0,0,91,-1,1,,,,0,Drop,Take,,
93,Marrentill potion (unf),MARRENTILLVIAL,marrentillvial,1,1,1,0,94,19288,5,3,2,10000,56,Empty|Drop,Take,I need another ingredient to finish this Marrentill potion.,"{""434"":15,""436"":5}"
94,null,Cert.MARRENTILLVIAL,cert_marrentillvial,0,1,0,0,93,-1,1,,,,0,Drop,Take,,
95,Tarromin potion (unf),TARROMINVIAL,tarrominvial,1,1,1,0,96,19289,11,6,4,10000,56,Empty|Drop,Take,I need another ingredient to finish this Tarromin potion.,"{""434"":15,""436"":12}"
96,null,Cert.TARROMINVIAL,cert_tarrominvial,0,1,0,0,95,-1,1,,,,0,Drop,Take,,
97,Harralander potion (unf),HARRALANDERVIAL,harralandervial,1,1,1,0,98,19290,20,12,8,10000,56,Empty|Drop,Take,I need another ingredient to finish this Harralander potion.,"{""434"":15,""436"":22}"
98,null,Cert.HARRALANDERVIAL,cert_harralandervial,0,1,0,0,97,-1,1,,,,0,Drop,Take,,
99,Ranarr potion (unf),RANARRVIAL,ranarrvial,1,1,1,0,100,19291,25,15,10,10000,56,Empty|Drop,Take,I need another ingredient to finish this Ranarr potion.,"{""434"":15,""436"":30}"
100,null,Cert.RANARRVIAL,cert_ranarrvial,0,1,0,0,99,-1,1,,,,0,Drop,Take,,
101,Irit potion (unf),IRITVIAL,iritvial,1,1,1,0,102,19293,40,24,16,10000,56,Empty|Drop,Take,I need another ingredient to finish this Irit potion.,"{""434"":15,""436"":45}"
102,null,Cert.IRITVIAL,cert_iritvial,0,1,0,0,101,-1,1,,,,0,Drop,Take,,
103,Avantoe potion (unf),AVANTOEVIAL,avantoevial,1,1,1,0,104,19294,48,28,19,10000,56,Empty|Drop,Take,I need another ingredient to finish this Avantoe potion.,"{""434"":15,""436"":50}"
104,null,Cert.AVANTOEVIAL,cert_avantoevial,0,1,0,0,103,-1,1,,,,0,Drop,Take,,
105,Kwuarm potion (unf),KWUARMVIAL,kwuarmvial,1,1,1,0,106,19295,54,32,21,10000,56,Empty|Drop,Take,I need another ingredient to finish this Kwuarm potion.,"{""434"":15,""436"":55}"
106,null,Cert.KWUARMVIAL,cert_kwuarmvial,0,1,0,0,105,-1,1,,,,0,Drop,Take,,
107,Cadantine potion (unf),CADANTINEVIAL,cadantinevial,1,1,1,0,108,19297,65,39,26,10000,56,Empty|Drop,Take,I need another ingredient to finish this Cadantine potion.,"{""434"":15,""436"":66}"
108,null,Cert.CADANTINEVIAL,cert_cadantinevial,0,1,0,0,107,-1,1,,,,0,Drop,Take,,
109,Dwarf weed potion (unf),DWARFWEEDVIAL,dwarfweedvial,1,1,1,0,110,19299,70,42,28,10000,56,Empty|Drop,Take,I need another ingredient to finish this Dwarf Weed potion.,"{""434"":15,""436"":72}"
110,null,Cert.DWARFWEEDVIAL,cert_dwarfweedvial,0,1,0,0,109,-1,1,,,,0,Drop,Take,,
111,Torstol potion (unf),TORSTOLVIAL,torstolvial,1,1,1,0,112,19300,25,15,10,10000,56,Empty|Drop,Take,I need another ingredient to finish this Torstol potion.,"{""434"":15,""436"":78}"
112,null,Cert.TORSTOLVIAL,cert_torstolvial,0,1,0,0,111,-1,1,,,,0,Drop,Take,,
113,Strength potion(4),STRENGTH4,strength4,0,1,1,0,114,15255,14,8,5,2000,35,Drink|Empty|Drop,Take,4 doses of Strength potion.,"{""468"":2,""1564"":1002}"
114,null,Cert.STRENGTH4,cert_strength4,0,1,0,0,113,-1,1,,,,0,Drop,Take,,
115,Strength potion(3),_3DOSE1STRENGTH,3dose1strength,0,1,1,0,116,19317,13,7,5,2000,30,Drink|Empty|Drop,Take,3 doses of Strength potion.,"{""434"":15,""436"":12,""468"":2}"
116,null,Cert._3DOSE1STRENGTH,cert_3dose1strength,0,1,0,0,115,-1,1,,,,0,Drop,Take,,
117,Strength potion(2),_2DOSE1STRENGTH,2dose1strength,0,1,1,0,118,19318,13,7,5,2000,25,Drink|Empty|Drop,Take,2 doses of Strength potion.,"{""468"":2}"
118,null,Cert._2DOSE1STRENGTH,cert_2dose1strength,0,1,0,0,117,-1,1,,,,0,Drop,Take,,
119,Strength potion(1),_1DOSE1STRENGTH,1dose1strength,0,1,1,0,120,19319,11,6,4,2000,20,Drink|Empty|Drop,Take,1 dose of Strength potion.,"{""468"":2}"
120,null,Cert._1DOSE1STRENGTH,cert_1dose1strength,0,1,0,0,119,-1,1,,,,0,Drop,Take,,
121,Attack potion(3),_3DOSE1ATTACK,3dose1attack,1,1,1,0,122,19320,12,7,4,2000,30,Drink|Empty|Drop,Take,3 doses of Attack potion.,"{""434"":15,""436"":3,""468"":1}"
122,null,Cert._3DOSE1ATTACK,cert_3dose1attack,0,1,0,0,121,-1,1,,,,0,Drop,Take,,
123,Attack potion(2),_2DOSE1ATTACK,2dose1attack,1,1,1,0,124,19321,9,5,3,2000,25,Drink|Empty|Drop,Take,2 doses of Attack potion.,"{""468"":1}"
124,null,Cert._2DOSE1ATTACK,cert_2dose1attack,0,1,0,0,123,-1,1,,,,0,Drop,Take,,
125,Attack potion(1),_1DOSE1ATTACK,1dose1attack,1,1,1,0,126,19322,6,3,2,2000,20,Drink|Empty|Drop,Take,1 dose of Attack potion.,"{""468"":1}"
126,null,Cert._1DOSE1ATTACK,cert_1dose1attack,0,1,0,0,125,-1,1,,,,0,Drop,Take,,
127,Restore potion(3),_3DOSESTATRESTORE,3dosestatrestore,1,1,1,0,128,19323,88,52,35,2000,30,Drink|Empty|Drop,Take,3 doses of restore potion.,"{""434"":15,""436"":22,""468"":16}"
128,null,Cert._3DOSESTATRESTORE,cert_3dosestatrestore,0,1,0,0,127,-1,1,,,,0,Drop,Take,,
129,Restore potion(2),_2DOSESTATRESTORE,2dosestatrestore,1,1,1,0,130,19324,66,39,26,2000,25,Drink|Empty|Drop,Take,2 doses of restore potion.,"{""468"":16}"
130,null,Cert._2DOSESTATRESTORE,cert_2dosestatrestore,0,1,0,0,129,-1,1,,,,0,Drop,Take,,
131,Restore potion(1),_1DOSESTATRESTORE,1dosestatrestore,1,1,1,0,132,19325,44,26,17,2000,20,Drink|Empty|Drop,Take,1 dose of restore potion.,"{""468"":16}"
132,null,Cert._1DOSESTATRESTORE,cert_1dosestatrestore,0,1,0,0,131,-1,1,,,,0,Drop,Take,,
133,Defence potion(3),_3DOSE1DEFENSE,3dose1defense,1,1,1,0,134,19326,120,72,48,2000,30,Drink|Empty|Drop,Take,3 doses of Defence potion.,"{""434"":15,""436"":30,""468"":3}"
134,null,Cert._3DOSE1DEFENSE,cert_3dose1defense,0,1,0,0,133,-1,1,,,,0,Drop,Take,,
135,Defence potion(2),_2DOSE1DEFENSE,2dose1defense,1,1,1,0,136,19327,90,54,36,2000,25,Drink|Empty|Drop,Take,2 doses of Defence potion.,"{""468"":3}"
136,null,Cert._2DOSE1DEFENSE,cert_2dose1defense,0,1,0,0,135,-1,1,,,,0,Drop,Take,,
137,Defence potion(1),_1DOSE1DEFENSE,1dose1defense,1,1,1,0,138,19328,60,36,24,2000,20,Drink|Empty|Drop,Take,1 dose of Defence potion.,"{""468"":3}"
138,null,Cert._1DOSE1DEFENSE,cert_1dose1defense,0,1,0,0,137,-1,1,,,,0,Drop,Take,,
139,Prayer potion(3),_3DOSEPRAYERRESTORE,3doseprayerrestore,1,1,1,0,140,19329,152,91,60,2000,30,Drink|Empty|Drop,Take,3 doses of Prayer restore potion.,"{""434"":15,""436"":38,""468"":18}"
140,null,Cert._3DOSEPRAYERRESTORE,cert_3doseprayerrestore,0,1,0,0,139,-1,1,,,,0,Drop,Take,,
141,Prayer potion(2),_2DOSEPRAYERRESTORE,2doseprayerrestore,1,1,1,0,142,19330,114,68,45,2000,25,Drink|Empty|Drop,Take,2 doses of Prayer restore potion.,"{""468"":18}"
142,null,Cert._2DOSEPRAYERRESTORE,cert_2doseprayerrestore,0,1,0,0,141,-1,1,,,,0,Drop,Take,,
143,Prayer potion(1),_1DOSEPRAYERRESTORE,1doseprayerrestore,1,1,1,0,144,19331,76,45,30,2000,20,Drink|Empty|Drop,Take,1 dose of Prayer restore potion.,"{""468"":18}"
144,null,Cert._1DOSEPRAYERRESTORE,cert_1doseprayerrestore,0,1,0,0,143,-1,1,,,,0,Drop,Take,,
145,Super attack(3),_3DOSE2ATTACK,3dose2attack,1,1,1,0,146,19332,180,108,72,2000,30,Drink|Empty|Drop,Take,3 doses of super Attack potion.,"{""434"":15,""436"":45,""468"":7}"
146,null,Cert._3DOSE2ATTACK,cert_3dose2attack,0,1,0,0,145,-1,1,,,,0,Drop,Take,,
147,Super attack(2),_2DOSE2ATTACK,2dose2attack,1,1,1,0,148,19333,135,81,54,2000,25,Drink|Empty|Drop,Take,2 doses of super Attack potion.,"{""468"":7}"
148,null,Cert._2DOSE2ATTACK,cert_2dose2attack,0,1,0,0,147,-1,1,,,,0,Drop,Take,,
149,Super attack(1),_1DOSE2ATTACK,1dose2attack,1,1,1,0,150,19334,90,54,36,2000,20,Drink|Empty|Drop,Take,1 dose of super Attack potion.,"{""468"":7}"
150,null,Cert._1DOSE2ATTACK,cert_1dose2attack,0,1,0,0,149,-1,1,,,,0,Drop,Take,,
151,Fishing potion(3),_3DOSEFISHERSPOTION,3dosefisherspotion,1,1,1,0,152,19335,200,120,80,2000,30,Drink|Empty|Drop,Take,3 doses of Fishing potion.,"{""434"":15,""436"":50,""468"":31}"
152,null,Cert._3DOSEFISHERSPOTION,cert_3dosefisherspotion,0,1,0,0,151,-1,1,,,,0,Drop,Take,,
153,Fishing potion(2),_2DOSEFISHERSPOTION,2dosefisherspotion,1,1,1,0,154,19336,150,90,60,2000,25,Drink|Empty|Drop,Take,2 doses of Fishing potion.,"{""468"":31}"
154,null,Cert._2DOSEFISHERSPOTION,cert_2dosefisherspotion,0,1,0,0,153,-1,1,,,,0,Drop,Take,,
155,Fishing potion(1),_1DOSEFISHERSPOTION,1dosefisherspotion,1,1,1,0,156,19337,100,60,40,2000,20,Drink|Empty|Drop,Take,1 dose of Fishing potion.,"{""468"":31}"
156,null,Cert._1DOSEFISHERSPOTION,cert_1dosefisherspotion,0,1,0,0,155,-1,1,,,,0,Drop,Take,,
157,Super strength(3),_3DOSE2STRENGTH,3dose2strength,1,1,1,0,158,19338,220,132,88,2000,30,Drink|Empty|Drop,Take,3 doses of super Strength potion.,"{""434"":15,""436"":55,""468"":8}"
158,null,Cert._3DOSE2STRENGTH,cert_3dose2strength,0,1,0,0,157,-1,1,,,,0,Drop,Take,,
159,Super strength(2),_2DOSE2STRENGTH,2dose2strength,1,1,1,0,160,19339,165,99,66,2000,25,Drink|Empty|Drop,Take,2 doses of super Strength potion.,"{""468"":8}"
160,null,Cert._2DOSE2STRENGTH,cert_2dose2strength,0,1,0,0,159,-1,1,,,,0,Drop,Take,,
161,Super strength(1),_1DOSE2STRENGTH,1dose2strength,1,1,1,0,162,19340,110,66,44,2000,20,Drink|Empty|Drop,Take,1 dose of super Strength potion.,"{""468"":8}"
162,null,Cert._1DOSE2STRENGTH,cert_1dose2strength,0,1,0,0,161,-1,1,,,,0,Drop,Take,,
163,Super defence(3),_3DOSE2DEFENSE,3dose2defense,1,1,1,0,164,19341,264,158,105,2000,30,Drink|Empty|Drop,Take,3 doses of super Defence potion.,"{""434"":15,""436"":66,""468"":10}"
164,null,Cert._3DOSE2DEFENSE,cert_3dose2defense,0,1,0,0,163,-1,1,,,,0,Drop,Take,,
165,Super defence(2),_2DOSE2DEFENSE,2dose2defense,1,1,1,0,166,19342,198,118,79,2000,25,Drink|Empty|Drop,Take,2 doses of super Defence potion.,"{""468"":10}"
166,null,Cert._2DOSE2DEFENSE,cert_2dose2defense,0,1,0,0,165,-1,1,,,,0,Drop,Take,,
167,Super defence(1),_1DOSE2DEFENSE,1dose2defense,1,1,1,0,168,19343,132,79,52,2000,20,Drink|Empty|Drop,Take,1 dose of super Defence potion.,"{""468"":10}"
168,null,Cert._1DOSE2DEFENSE,cert_1dose2defense,0,1,0,0,167,-1,1,,,,0,Drop,Take,,
169,Ranging potion(3),_3DOSERANGERSPOTION,3doserangerspotion,1,1,1,0,170,19344,288,172,115,2000,30,Drink|Empty|Drop,Take,3 doses of ranging potion.,"{""434"":15,""436"":72,""468"":5}"
170,null,Cert._3DOSERANGERSPOTION,cert_3doserangerspotion,0,1,0,0,169,-1,1,,,,0,Drop,Take,,
171,Ranging potion(2),_2DOSERANGERSPOTION,2doserangerspotion,1,1,1,0,172,19345,216,129,86,2000,25,Drink|Empty|Drop,Take,2 doses of ranging potion.,"{""468"":5}"
