group_class,child_const,group_id,child_id,packed_id,packed_hex
Deathkeep,BUTTON0,4,14,262158,0x0004000e
Deathkeep,BUTTON1,4,15,262159,0x0004000f
Deathkeep,BUTTON2,4,16,262160,0x00040010
Deathkeep,BUTTON3,4,17,262161,0x00040011
Deathkeep,VALUE,4,18,262162,0x00040012
AgilityarenaOverlay,UNIVERSE,5,0,327680,0x00050000
AgilityarenaOverlay,DODGER,5,1,327681,0x00050001
AgilityarenaOverlay,CONTENT,5,2,327682,0x00050002
AgilityarenaOverlay,RED,5,3,327683,0x00050003
AgilityarenaOverlay,GREEN,5,4,327684,0x00050004
AgilityarenaOverlay,CONTENT_RECT2,5,5,327685,0x00050005
AgilityarenaOverlay,CONTENT_RECT3,5,6,327686,0x00050006
SilverCrafting,UNIVERSE,6,0,393216,0x00060000
SilverCrafting,FRAME,6,1,393217,0x00060001
SilverCrafting,UNIVERSE_GRAPHIC1,6,2,393218,0x00060002
SilverCrafting,UNIVERSE_GRAPHIC2,6,3,393219,0x00060003
SilverCrafting,CONTENT,6,4,393220,0x00060004
SilverCrafting,JEWELLERY,6,5,393221,0x00060005
SilverCrafting,RINGS,6,6,393222,0x00060006
SilverCrafting,OPAL_RING,6,7,393223,0x00060007
SilverCrafting,JADE_RING,6,8,393224,0x00060008
SilverCrafting,TOPAZ_RING,6,9,393225,0x00060009
SilverCrafting,NECKLACES,6,10,393226,0x0006000a
SilverCrafting,OPAL_NECKLACE,6,11,393227,0x0006000b
SilverCrafting,JADE_NECKLACE,6,12,393228,0x0006000c
SilverCrafting,TOPAZ_NECKLACE,6,13,393229,0x0006000d
SilverCrafting,AMULETS,6,14,393230,0x0006000e
SilverCrafting,OPAL_AMULET,6,15,393231,0x0006000f
SilverCrafting,JADE_AMULET,6,16,393232,0x00060010
SilverCrafting,TOPAZ_AMULET,6,17,393233,0x00060011
SilverCrafting,BRACELETS,6,18,393234,0x00060012
SilverCrafting,OPAL_BRACELET,6,19,393235,0x00060013
SilverCrafting,JADE_BRACELET,6,20,393236,0x00060014
SilverCrafting,TOPAZ_BRACELET,6,21,393237,0x00060015
SilverCrafting,MISCELLANEOUS,6,22,393238,0x00060016
SilverCrafting,HOLY_SYMBOL,6,23,393239,0x00060017
SilverCrafting,UNHOLY_SYMBOL,6,24,393240,0x00060018
SilverCrafting,SICKLE,6,25,393241,0x00060019
SilverCrafting,LIGHTNING_ROD,6,26,393242,0x0006001a
SilverCrafting,CROSSBOW_BOLT,6,27,393243,0x0006001b
SilverCrafting,TIARA,6,28,393244,0x0006001c
SilverCrafting,IVANDIS,6,29,393245,0x0006001d
SilverCrafting,AGRITH_SIGIL,6,30,393246,0x0006001e
SilverCrafting,MAKEX,6,31,393247,0x0006001f
SilverCrafting,MAKE_1,6,32,393248,0x00060020
SilverCrafting,MAKE_5,6,33,393249,0x00060021
SilverCrafting,MAKE_10,6,34,393250,0x00060022
SilverCrafting,MAKE_X,6,35,393251,0x00060023
SilverCrafting,MAKE_ALL,6,36,393252,0x00060024
SilverCrafting,MAKE_SOME,6,37,393253,0x00060025
ChatchannelCurrent,UNIVERSE,7,0,458752,0x00070000
ChatchannelCurrent,CHANNELNAME,7,1,458753,0x00070001
ChatchannelCurrent,CHANNELOWNER,7,2,458754,0x00070002
ChatchannelCurrent,BORDER,7,3,458755,0x00070003
ChatchannelCurrent,BORDER_RECT0,7,4,458756,0x00070004
ChatchannelCurrent,INNER,7,5,458757,0x00070005
ChatchannelCurrent,SORTAREA,7,6,458758,0x00070006
ChatchannelCurrent,SORT_RANK,7,7,458759,0x00070007
ChatchannelCurrent,SORT_NAME,7,8,458760,0x00070008
ChatchannelCurrent,SORT_RECENT,7,9,458761,0x00070009
ChatchannelCurrent,SORT_WORLD,7,10,458762,0x0007000a
ChatchannelCurrent,SORT_LEGACY,7,11,458763,0x0007000b
ChatchannelCurrent,LIST,7,12,458764,0x0007000c
ChatchannelCurrent,SCROLLBAR,7,13,458765,0x0007000d
ChatchannelCurrent,BLOCKED,7,14,458766,0x0007000e
ChatchannelCurrent,BLOCKED_RECT0,7,15,458767,0x0007000f
ChatchannelCurrent,BLOCKED_WARNING,7,16,458768,0x00070010
ChatchannelCurrent,JOINLEAVE_GFX,7,17,458769,0x00070011
ChatchannelCurrent,JOINLEAVE,7,18,458770,0x00070012
ChatchannelCurrent,SETUP_GFX,7,19,458771,0x00070013
ChatchannelCurrent,SETUP,7,20,458772,0x00070014
ChatchannelCurrent,TOOLTIP,7,21,458773,0x00070015
AhoyIslandmap,ROOT_RECT0,8,0,524288,0x00080000
AhoyIslandmap,DRAGONTOOTHISLAND_PAPER,8,1,524289,0x00080001
AhoyIslandmap,DRAGONTOOTH_MAP,8,2,524290,0x00080002
AhoyIslandmap,ROOT_TEXT3,8,3,524291,0x00080003
AhoyIslandmap,ROOT_TEXT4,8,4,524292,0x00080004
AhoyIslandmap,ROOT_TEXT5,8,5,524293,0x00080005
AhoyIslandmap,ROOT_TEXT6,8,6,524294,0x00080006
AhoyIslandmap,ROOT_TEXT7,8,7,524295,0x00080007
AhoyIslandmap,ROOT_TEXT8,8,8,524296,0x00080008
AhoyIslandmap,ROOT_TEXT9,8,9,524297,0x00080009
AhoyIslandmap,ROOT_GRAPHIC10,8,10,524298,0x0008000a
AhoyIslandmap,AHOY_ISLANDMAP_CLOSE_BUTTON_GRAPHIC0,8,11,524299,0x0008000b
AhoyIslandmap,AHOY_ISLANDMAP_CLOSE_BUTTON,8,12,524300,0x0008000c
AhoyRunedraw,ROOT_MODEL0,9,0,589824,0x00090000
AhoyRunedraw,ROOT_MODEL1,9,1,589825,0x00090001
AhoyRunedraw,ROOT_TEXT2,9,2,589826,0x00090002
AhoyRunedraw,ROOT_TEXT3,9,3,589827,0x00090003
AhoyRunedraw,ROOT_TEXT4,9,4,589828,0x00090004
AhoyRunedraw,RUNEDRAW_BTN_DRAW,9,5,589829,0x00090005
AhoyRunedraw,RUNEDRAW_BTN_HOLD,9,6,589830,0x00090006
AhoyRunedraw,RUNEDRAW_SLOT_1,9,7,589831,0x00090007
AhoyRunedraw,RUNEDRAW_SLOT_2,9,8,589832,0x00090008
AhoyRunedraw,RUNEDRAW_SLOT_3,9,9,589833,0x00090009
AhoyRunedraw,RUNEDRAW_SLOT_4,9,10,589834,0x0009000a
AhoyRunedraw,RUNEDRAW_SLOT_5,9,11,589835,0x0009000b
AhoyRunedraw,RUNEDRAW_SLOT_6,9,12,589836,0x0009000c
AhoyRunedraw,RUNEDRAW_SLOT_7,9,13,589837,0x0009000d
AhoyRunedraw,RUNEDRAW_SLOT_8,9,14,589838,0x0009000e
AhoyRunedraw,RUNEDRAW_SLOT_9,9,15,589839,0x0009000f
AhoyRunedraw,RUNEDRAW_SLOT_10,9,16,589840,0x00090010
AhoyRunedraw,RUNEDRAW_SLOT_11,9,17,589841,0x00090011
AhoyRunedraw,RUNEDRAW_SLOT_12,9,18,589842,0x00090012
AhoyRunedraw,RUNEDRAW_SLOT_13,9,19,589843,0x00090013
AhoyRunedraw,RUNEDRAW_SLOT_14,9,20,589844,0x00090014
AhoyRunedraw,RUNEDRAW_SLOT_15,9,21,589845,0x00090015
AhoyRunedraw,RUNEDRAW_SLOT_16,9,22,589846,0x00090016
AhoyRunedraw,RUNEDRAW_SLOT_17,9,23,589847,0x00090017
AhoyRunedraw,RUNEDRAW_SLOT_18,9,24,589848,0x00090018
AhoyRunedraw,RUNEDRAW_SLOT_19,9,25,589849,0x00090019
AhoyRunedraw,RUNEDRAW_SLOT_20,9,26,589850,0x0009001a
AhoyRunedraw,RUNEDRAW_SCORE_L,9,27,589851,0x0009001b
AhoyRunedraw,RUNEDRAW_TOTALSCORE_L,9,28,589852,0x0009001c
AhoyRunedraw,RUNEDRAW_SCORE_R,9,29,589853,0x0009001d
AhoyRunedraw,RUNEDRAW_TOTALSCORE_R,9,30,589854,0x0009001e
AhoyRunedraw,RUNEDRAW_LAYER_DRAW,9,31,589855,0x0009001f
AhoyRunedraw,RUNEDRAW_LAYER_HOLD,9,32,589856,0x00090020
AhoyRunedraw,ROOT_GRAPHIC31,9,33,589857,0x00090021
AhoyRunedraw,AHOY_RUNEDRAW_CLOSE_BUTTON_GRAPHIC0,9,34,589858,0x00090022
AhoyRunedraw,AHOY_RUNEDRAW_CLOSE_BUTTON,9,35,589859,0x00090023
AhoyWindspeed,UNIVERSE,10,0,655360,0x000a0000
AhoyWindspeed,DODGER,10,1,655361,0x000a0001
AhoyWindspeed,CONTENT,10,2,655362,0x000a0002
AhoyWindspeed,CONTENT_RECT0,10,3,655363,0x000a0003
AhoyWindspeed,CONTENT_TEXT1,10,4,655364,0x000a0004
AhoyWindspeed,AHOY_WINDSPEED_INDICATOR,10,5,655365,0x000a0005
ObjectboxDouble,UNIVERSE,11,0,720896,0x000b0000
ObjectboxDouble,MODEL1,11,1,720897,0x000b0001
ObjectboxDouble,TEXT,11,2,720898,0x000b0002
ObjectboxDouble,MODEL2,11,3,720899,0x000b0003
ObjectboxDouble,PAUSEBUTTON,11,4,720900,0x000b0004
Bankmain,INFINITE,12,0,786432,0x000c0000
Bankmain,UNIVERSE,12,1,786433,0x000c0001
Bankmain,FRAME,12,2,786434,0x000c0002
Bankmain,TITLE,12,3,786435,0x000c0003
Bankmain,BANK_TUT,12,4,786436,0x000c0004
Bankmain,OCCUPIEDSLOTS,12,5,786437,0x000c0005
Bankmain,UNIVERSE_LINE4,12,6,786438,0x000c0006
Bankmain,CAPACITY_LAYER,12,7,786439,0x000c0007
Bankmain,CAPACITY,12,8,786440,0x000c0008
Bankmain,ITEMS_CONTAINER,12,9,786441,0x000c0009
Bankmain,TABS,12,10,786442,0x000c000a
Bankmain,TABS_LINE0,12,11,786443,0x000c000b
Bankmain,ITEMS,12,12,786444,0x000c000c
Bankmain,SCROLLBAR,12,13,786445,0x000c000d
Bankmain,BANKTAGS_DISPLAY_CONTAINER,12,14,786446,0x000c000e
Bankmain,BANKTAGS_DISPLAY_DRAGLAYER,12,15,786447,0x000c000f
Bankmain,BANKTAGS_DISPLAY_ITEMS,12,16,786448,0x000c0010
Bankmain,BANKTAGS_DISPLAY_SCROLLBAR,12,17,786449,0x000c0011
Bankmain,BANKTAGS_HEADERS,12,18,786450,0x000c0012
Bankmain,POTIONSTORE_CONTAINER,12,19,786451,0x000c0013
Bankmain,POTIONSTORE_BACKGROUND,12,20,786452,0x000c0014
Bankmain,BANKTAGS_HEADER_SEPARATOR,12,21,786453,0x000c0015
Bankmain,BOTTOM,12,22,786454,0x000c0016
Bankmain,SWAP_INSERT,12,23,786455,0x000c0017
Bankmain,SWAP_INSERT_GRAPHIC,12,24,786456,0x000c0018
Bankmain,NOTE,12,25,786457,0x000c0019
Bankmain,NOTE_GRAPHIC,12,26,786458,0x000c001a
Bankmain,BOTTOM_LINE4,12,27,786459,0x000c001b
Bankmain,QUANTITY_LAYER,12,28,786460,0x000c001c
Bankmain,QUANTITY1,12,29,786461,0x000c001d
Bankmain,QUANTITY1_TEXT,12,30,786462,0x000c001e
Bankmain,QUANTITY5,12,31,786463,0x000c001f
Bankmain,QUANTITY5_TEXT,12,32,786464,0x000c0020
Bankmain,QUANTITY10,12,33,786465,0x000c0021
Bankmain,QUANTITY10_TEXT,12,34,786466,0x000c0022
Bankmain,QUANTITYX,12,35,786467,0x000c0023
Bankmain,QUANTITYX_TEXT,12,36,786468,0x000c0024
Bankmain,QUANTITYALL,12,37,786469,0x000c0025
Bankmain,QUANTITYALL_TEXT,12,38,786470,0x000c0026
Bankmain,BOTTOM_LINE6,12,39,786471,0x000c0027
Bankmain,PLACEHOLDER,12,40,786472,0x000c0028
Bankmain,PLACEHOLDER_GRAPHIC,12,41,786473,0x000c0029
Bankmain,SEARCH,12,42,786474,0x000c002a
Bankmain,SEARCH_GRAPHIC,12,43,786475,0x000c002b
Bankmain,DEPOSIT_LINE,12,44,786476,0x000c002c
Bankmain,DEPOSITCONTAINERS,12,45,786477,0x000c002d
Bankmain,DEPOSITCONTAINERS_GRAPHIC,12,46,786478,0x000c002e
Bankmain,DEPOSITINV,12,47,786479,0x000c002f
Bankmain,DEPOSITINV_GRAPHIC,12,48,786480,0x000c0030
Bankmain,DEPOSITWORN,12,49,786481,0x000c0031
Bankmain,DEPOSITWORN_GRAPHIC,12,50,786482,0x000c0032
Bankmain,HORIZONTAL_LINE,12,51,786483,0x000c0033
Bankmain,POPUP_BUTTON_OUT,12,52,786484,0x000c0034
Bankmain,STORAGE_POPUP_TAB,12,53,786485,0x000c0035
Bankmain,INCINERATOR_TARGET,12,54,786486,0x000c0036
Bankmain,INCINERATOR_CONFIRM,12,55,786487,0x000c0037
Bankmain,BANKTAGS_POPUP_STRINGEXPORT_CONTAINER,12,56,786488,0x000c0038
Bankmain,INCINERATOR_CONFIRM_GRAPHIC0,12,57,786489,0x000c0039
Bankmain,POTIONSTORE_ITEMS,12,58,786490,0x000c003a
Bankmain,POTIONSTORE_SCROLLBAR,12,59,786491,0x000c003b
Bankmain,MENU_CONTAINER,12,60,786492,0x000c003c
Bankmain,WORNITEMS_CONTAINER,12,61,786493,0x000c003d
Bankmain,WORNITEMS_CONTAINER_MODEL0,12,62,786494,0x000c003e
Bankmain,WORNITEMS_CONTAINER_GRAPHIC1,12,63,786495,0x000c003f
Bankmain,WORNITEMS_CONTAINER_GRAPHIC2,12,64,786496,0x000c0040
Bankmain,WORNITEMS_CONTAINER_GRAPHIC3,12,65,786497,0x000c0041
Bankmain,WORNITEMS_CONTAINER_GRAPHIC4,12,66,786498,0x000c0042
Bankmain,WORNITEMS_CONTAINER_GRAPHIC5,12,67,786499,0x000c0043
Bankmain,WORNSLOT0,12,68,786500,0x000c0044
Bankmain,WORNSLOT1,12,69,786501,0x000c0045
Bankmain,WORNSLOT2,12,70,786502,0x000c0046
Bankmain,WORNSLOT3,12,71,786503,0x000c0047
Bankmain,WORNSLOT4,12,72,786504,0x000c0048
Bankmain,WORNSLOT5,12,73,786505,0x000c0049
Bankmain,WORNSLOT7,12,74,786506,0x000c004a
Bankmain,WORNSLOT9,12,75,786507,0x000c004b
Bankmain,WORNSLOT10,12,76,786508,0x000c004c
Bankmain,WORNSLOT12,12,77,786509,0x000c004d
Bankmain,WORNSLOT13,12,78,786510,0x000c004e
Bankmain,EXTRA_QUIVER_SLOT,12,79,786511,0x000c004f
Bankmain,STAT_GROUP,12,80,786512,0x000c0050
Bankmain,STAT_GROUP_TEXT0,12,81,786513,0x000c0051
Bankmain,STABATT,12,82,786514,0x000c0052
Bankmain,SLASHATT,12,83,786515,0x000c0053
Bankmain,CRUSHATT,12,84,786516,0x000c0054
Bankmain,MAGICATT,12,85,786517,0x000c0055
Bankmain,RANGEATT,12,86,786518,0x000c0056
Bankmain,STAT_GROUP_TEXT6,12,87,786519,0x000c0057
Bankmain,STABDEF,12,88,786520,0x000c0058
Bankmain,SLASHDEF,12,89,786521,0x000c0059
Bankmain,CRUSHDEF,12,90,786522,0x000c005a
Bankmain,MAGICDEF,12,91,786523,0x000c005b
Bankmain,RANGEDEF,12,92,786524,0x000c005c
Bankmain,STAT_GROUP_TEXT12,12,93,786525,0x000c005d
Bankmain,MELEESTRENGTH,12,94,786526,0x000c005e
Bankmain,RANGESTRENGTH,12,95,786527,0x000c005f
Bankmain,MAGICDAMAGE,12,96,786528,0x000c0060
Bankmain,PRAYER,12,97,786529,0x000c0061
Bankmain,STAT_GROUP_TEXT17,12,98,786530,0x000c0062
Bankmain,TYPEMULTIPLIER,12,99,786531,0x000c0063
Bankmain,SLAYERMULTIPLIER,12,100,786532,0x000c0064
Bankmain,STAT_GROUP_TEXT20,12,101,786533,0x000c0065
Bankmain,NEXT_PAGE,12,102,786534,0x000c0066
Bankmain,SET_BONUS,12,103,786535,0x000c0067
Bankmain,WORNITEMS_CONTAINER_GRAPHIC21,12,104,786536,0x000c0068
Bankmain,WORNITEMS_CONTAINER_TEXT22,12,105,786537,0x000c0069
Bankmain,MENU_BUTTON,12,106,786538,0x000c006a
Bankmain,WORNITEMS_BUTTON,12,107,786539,0x000c006b
Bankmain,BANK_HIGHLIGHT,12,108,786540,0x000c006c
Bankmain,POPUP,12,109,786541,0x000c006d
Bankmain,DROPDOWN_CONTAINER,12,110,786542,0x000c006e
Bankmain,TOOLTIP,12,111,786543,0x000c006f
Bankmain,SET_BONUS_TEXT0,12,112,786544,0x000c0070
Bankmain,SET_EFFECT,12,113,786545,0x000c0071
Bankmain,SCROLLBAR_1,12,114,786546,0x000c0072
Bankmain,PREVIOUS_PAGE,12,115,786547,0x000c0073
Bankmain,ATTACKSPEEDBASE,12,116,786548,0x000c0074
Bankmain,ATTACKSPEEDACTUAL,12,117,786549,0x000c0075
Bankmain,EXTRA_QUIVER_AMMO_GRAPHIC,12,118,786550,0x000c0076
Bankmain,EXTRA_QUIVER_AMMO,12,119,786551,0x000c0077
Bankmain,DROPDOWN,12,120,786552,0x000c0078
Bankmain,DROPDOWN_CONTENT,12,121,786553,0x000c0079
Bankmain,DROPDOWN_SCROLLER,12,122,786554,0x000c007a
Bankmain,STORAGE_POPUP_TAB_FRAME,12,123,786555,0x000c007b
Bankmain,POPUP_BUTTON_IN,12,124,786556,0x000c007c
Bankmain,GIM_STORAGE,12,125,786557,0x000c007d
Bankmain,POTIONSTORE_BUTTON,12,126,786558,0x000c007e
Bankmain,TABDISPLAY,12,127,786559,0x000c007f
Bankmain,TABDISPLAY_TEXT0,12,128,786560,0x000c0080
Bankmain,TABDISPLAY_SELECT_1,12,129,786561,0x000c0081
Bankmain,INCINERATOR_TOGGLE,12,130,786562,0x000c0082
Bankmain,BANKTUT_TOGGLE,12,131,786563,0x000c0083
Bankmain,SIDEOPS_TOGGLE,12,132,786564,0x000c0084
Bankmain,BANKOPS_TOGGLE,12,133,786565,0x000c0085
Bankmain,DEPOSITINV_TOGGLE,12,134,786566,0x000c0086
Bankmain,DEPOSITWORN_TOGGLE,12,135,786567,0x000c0087
Bankmain,DEPOSITCONTAINERS_TOGGLE,12,136,786568,0x000c0088
Bankmain,POPUP_TAB_FORGETPOS,12,137,786569,0x000c0089
Bankmain,DEPOSITPOTION_TOGGLE,12,138,786570,0x000c008a
Bankmain,CHUGGINGBARREL_TOGGLE,12,139,786571,0x000c008b
Bankmain,RELEASE_PLACEHOLDERS,12,140,786572,0x000c008c
Bankmain,LOCKS,12,141,786573,0x000c008d
Bankmain,BANK_FILLERS,12,142,786574,0x000c008e
Bankmain,BANK_FILLER_1,12,143,786575,0x000c008f
Bankmain,BANK_FILLER_1_TEXT,12,144,786576,0x000c0090
Bankmain,BANK_FILLER_10,12,145,786577,0x000c0091
Bankmain,BANK_FILLER_10_TEXT,12,146,786578,0x000c0092
Bankmain,BANK_FILLER_50,12,147,786579,0x000c0093
Bankmain,BANK_FILLER_50_TEXT,12,148,786580,0x000c0094
Bankmain,BANK_FILLER_X,12,149,786581,0x000c0095
Bankmain,BANK_FILLER_X_TEXT,12,150,786582,0x000c0096
Bankmain,BANK_FILLER_ALL,12,151,786583,0x000c0097
Bankmain,BANK_FILLER_ALL_TEXT,12,152,786584,0x000c0098
Bankmain,BANK_FILLER_CONFIRM,12,153,786585,0x000c0099
Bankmain,BANKTAGS_POPUP_STRINGEXPORT_CONTAINER_GRAPHIC0,12,154,786586,0x000c009a
Bankmain,BANKTAGS_POPUP_STRINGEXPORT_OUTER,12,155,786587,0x000c009b
Bankmain,BANKTAGS_POPUP_STRINGEXPORT_WINDOW,12,156,786588,0x000c009c
Bankmain,BANKTAGS_POPUP_STRINGEXPORT_INPUTFIELD,12,157,786589,0x000c009d
CorpBeast,UNIVERSE,13,0,851968,0x000d0000
CorpBeast,DODGER,13,1,851969,0x000d0001
CorpBeast,CORP_DAMAGE,13,2,851970,0x000d0002
BankpinSettings,SETTINGS,14,0,917504,0x000e0000
BankpinSettings,SETTINGS_FRAME,14,1,917505,0x000e0001
BankpinSettings,SETTINGS_GRAPHIC1,14,2,917506,0x000e0002
BankpinSettings,STATUSBOX,14,3,917507,0x000e0003
BankpinSettings,STATUSBOX_GRAPHIC0,14,4,917508,0x000e0004
BankpinSettings,STATUSBOX_TEXT1,14,5,917509,0x000e0005
BankpinSettings,STATUSOUTPUT,14,6,917510,0x000e0006
BankpinSettings,STATUSBOX_TEXT3,14,7,917511,0x000e0007
BankpinSettings,DELAYOUTPUT,14,8,917512,0x000e0008
BankpinSettings,STATUSBOX_TEXT5,14,9,917513,0x000e0009
BankpinSettings,LOGOUTOUTPUT,14,10,917514,0x000e000a
BankpinSettings,MESSAGEBOX,14,11,917515,0x000e000b
BankpinSettings,MESSAGEBOX_RECT0,14,12,917516,0x000e000c
BankpinSettings,MESSAGEBOX_TEXT1,14,13,917517,0x000e000d
BankpinSettings,MESSAGE,14,14,917518,0x000e000e
BankpinSettings,SETTINGS_TEXT4,14,15,917519,0x000e000f
BankpinSettings,BUTTONBOX,14,16,917520,0x000e0010
BankpinSettings,BUTTONBOX_GRAPHIC0,14,17,917521,0x000e0011
BankpinSettings,BUTTONS_NOPIN,14,18,917522,0x000e0012
BankpinSettings,SET,14,19,917523,0x000e0013
BankpinSettings,DELAY0,14,20,917524,0x000e0014
BankpinSettings,BUTTONS_HASPIN,14,21,917525,0x000e0015
BankpinSettings,CHANGE,14,22,917526,0x000e0016
BankpinSettings,DELETE,14,23,917527,0x000e0017
BankpinSettings,DELAY1,14,24,917528,0x000e0018
BankpinSettings,LOGOUTHANDLER,14,25,917529,0x000e0019
BankpinSettings,BUTTONS_PENDINGPIN,14,26,917530,0x000e001a
BankpinSettings,CANCEL,14,27,917531,0x000e001b
BankpinSettings,WARNING,14,28,917532,0x000e001c
BankpinSettings,WARNING_RECT0,14,29,917533,0x000e001d
BankpinSettings,WARNINGQUESTION,14,30,917534,0x000e001e
BankpinSettings,WARNING_YES_CONTAINER,14,31,917535,0x000e001f
BankpinSettings,WARNING_YES_CONTAINER_GRAPHIC0,14,32,917536,0x000e0020
BankpinSettings,WARNING_YES,14,33,917537,0x000e0021
BankpinSettings,WARNING_NO_CONTAINER,14,34,917538,0x000e0022
BankpinSettings,WARNING_NO_CONTAINER_GRAPHIC0,14,35,917539,0x000e0023
BankpinSettings,WARNING_NO,14,36,917540,0x000e0024
Bankside,UNIVERSE,15,0,983040,0x000f0000
Bankside,ITEMS_CONTAINER,15,1,983041,0x000f0001
Bankside,ITEMS_BACKGROUND,15,2,983042,0x000f0002
Bankside,ITEMS,15,3,983043,0x000f0003
Bankside,WORNOPS,15,4,983044,0x000f0004
Bankside,LOOTINGBAG_CONTAINER,15,5,983045,0x000f0005
Bankside,LOOTINGBAG_BANKALL,15,6,983046,0x000f0006
