id,name,runelite_const,config_name,combat_level,size,on_minimap,is_follower,ops,stat_attack,stat_defence,stat_strength,stat_hitpoints,stat_ranged,stat_magic,varbit_id,varp_id,multi_children,category,params
23,Monkey,MAGIC_CARPET_MONKEY,magic_carpet_monkey,0,1,1,0,Talk-to,1,1,1,1,1,1,,,,299,
24,null,MAGIC_CARPET_MULTI_MONKEY1,magic_carpet_multi_monkey1,0,1,1,0,,1,1,1,1,1,1,418,,"[-1,-1,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,-1]",0,
25,null,MAGIC_CARPET_MULTI_MONKEY2,magic_carpet_multi_monkey2,0,1,1,0,,1,1,1,1,1,1,346,,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23,-1]",0,
26,Zombie,ZOMBIE_UNARMED,zombie_unarmed,13,1,1,0,Attack,8,10,9,22,1,1,,,,274,"{""50"":10,""26"":2}"
27,Zombie,ZOMBIE_UNARMED2,zombie_unarmed2,13,1,1,0,Attack,8,10,9,22,1,1,,,,274,"{""50"":10,""26"":2}"
28,Zombie,ZOMBIE_UNARMED3,zombie_unarmed3,13,1,1,0,Attack,8,10,9,22,1,1,,,,274,"{""50"":10,""26"":2}"
29,Zombie,ZOMBIE_UNARMED4,zombie_unarmed4,13,1,1,0,Attack,8,10,9,22,1,1,,,,274,"{""50"":10,""26"":2}"
30,Zombie,ZOMBIE_UNARMED5,zombie_unarmed5,13,1,1,0,Attack,8,10,9,22,1,1,,,,274,"{""50"":10,""26"":2}"
31,Zombie,ZOMBIE_UNARMED6,zombie_unarmed6,13,1,1,0,Attack,8,10,9,22,1,1,,,,274,"{""50"":10,""26"":2}"
32,Zombie,ZOMBIE_UNARMED_CITY1,zombie_unarmed_city1,13,1,1,0,Attack,8,10,9,22,1,1,,,,274,"{""50"":10,""26"":2}"
33,Zombie,ZOMBIE_UNARMED_CITY2,zombie_unarmed_city2,13,1,1,0,Attack,8,10,9,22,1,1,,,,274,"{""50"":10,""26"":2}"
34,Zombie,ZOMBIE_UNARMED_CITY3,zombie_unarmed_city3,13,1,1,0,Attack,8,10,9,22,1,1,,,,274,"{""50"":10,""26"":2}"
35,Zombie,ZOMBIE_UNARMED_CITY4,zombie_unarmed_city4,13,1,1,0,Attack,8,10,9,22,1,1,,,,274,"{""50"":10,""26"":2}"
36,Zombie,ZOMBIE_UNARMED_CITY5,zombie_unarmed_city5,13,1,1,0,Attack,8,10,9,22,1,1,,,,274,"{""50"":10,""26"":2}"
37,Zombie,ZOMBIE_UNARMED_CITY6,zombie_unarmed_city6,13,1,1,0,Attack,8,10,9,22,1,1,,,,274,"{""50"":10,""26"":2}"
38,Zombie,ZOMBIE_UNARMED_SEWER1,zombie_unarmed_sewer1,13,1,1,0,Attack,8,10,9,22,1,1,,,,274,"{""50"":10,""26"":2}"
39,Zombie,ZOMBIE_UNARMED_SEWER2,zombie_unarmed_sewer2,13,1,1,0,Attack,8,10,9,22,1,1,,,,274,"{""50"":10,""26"":2}"
40,Zombie,ZOMBIE_UNARMED_SEWER3,zombie_unarmed_sewer3,13,1,1,0,Attack,8,10,9,22,1,1,,,,274,"{""50"":10,""26"":2}"
41,Zombie,ZOMBIE_UNARMED_SEWER4,zombie_unarmed_sewer4,13,1,1,0,Attack,8,10,9,22,1,1,,,,274,"{""50"":10,""26"":2}"
42,Zombie,ZOMBIE2,zombie2,18,1,1,0,Attack,13,18,13,24,1,1,,,,274,"{""50"":10}"
43,Zombie,ZOMBIE2_B,zombie2_b,18,1,1,0,Attack,13,18,13,24,1,1,,,,274,"{""50"":10}"
44,Zombie,ZOMBIE2_C,zombie2_c,18,1,1,0,Attack,13,18,13,24,1,1,,,,274,"{""50"":10}"
45,Zombie,ZOMBIE2_RURAL1,zombie2_rural1,18,1,1,0,Attack,13,18,13,24,1,1,,,,274,"{""50"":10}"
46,Zombie,ZOMBIE2_RURAL2,zombie2_rural2,18,1,1,0,Attack,13,18,13,24,1,1,,,,274,"{""50"":10}"
47,Zombie,ZOMBIE2_RURAL3,zombie2_rural3,18,1,1,0,Attack,13,18,13,24,1,1,,,,274,"{""50"":10}"
48,Zombie,ZOMBIE2_RURAL4,zombie2_rural4,18,1,1,0,Attack,13,18,13,24,1,1,,,,274,"{""50"":10}"
49,Zombie,ZOMBIE_ARMED,zombie_armed,24,1,1,0,Attack,19,16,21,30,1,1,,,,274,"{""50"":10,""5"":9,""6"":8,""7"":12,""8"":10,""10"":7,""26"":1,""14"":5}"
50,Zombie,ZOMBIE_ARMED2,zombie_armed2,24,1,1,0,Attack,19,16,21,30,1,1,,,,274,"{""50"":10,""5"":9,""6"":8,""7"":12,""8"":10,""10"":7,""26"":1,""14"":5}"
51,Zombie,ZOMBIE_ARMED3,zombie_armed3,24,1,1,0,Attack,19,16,21,30,1,1,,,,274,"{""50"":10,""5"":9,""6"":8,""7"":12,""8"":10,""10"":7,""26"":1,""14"":5}"
52,Zombie,ZOMBIE_ARMED_CITY1,zombie_armed_city1,24,1,1,0,Attack,19,16,21,30,1,1,,,,274,"{""50"":10,""5"":9,""6"":8,""7"":12,""8"":10,""10"":7,""26"":1,""14"":5}"
53,Zombie,ZOMBIE_ARMED_CITY2,zombie_armed_city2,24,1,1,0,Attack,19,16,21,30,1,1,,,,274,"{""50"":10,""5"":9,""6"":8,""7"":12,""8"":10,""10"":7,""26"":1,""14"":5}"
54,Zombie,ZOMBIE_ARMED_CITY3,zombie_armed_city3,24,1,1,0,Attack,19,16,21,30,1,1,,,,274,"{""50"":10,""5"":9,""6"":8,""7"":12,""8"":10,""10"":7,""26"":1,""14"":5}"
55,Zombie,ZOMBIE_ARMED_SEWER1,zombie_armed_sewer1,24,1,1,0,Attack,19,16,21,30,1,1,,,,274,"{""50"":10,""5"":9,""6"":8,""7"":12,""8"":10,""10"":7,""26"":1,""14"":5}"
56,Zombie,ZOMBIE_ARMED_SEWER2,zombie_armed_sewer2,24,1,1,0,Attack,19,16,21,30,1,1,,,,274,"{""50"":10,""5"":9,""6"":8,""7"":12,""8"":10,""10"":7,""26"":1,""14"":5}"
57,Zombie,ZOMBIE_ARMED_SEWER3,zombie_armed_sewer3,24,1,1,0,Attack,19,16,21,30,1,1,,,,274,"{""50"":10,""5"":9,""6"":8,""7"":12,""8"":10,""10"":7,""26"":1,""14"":5}"
58,Zombie,ZOMBIE_ARMED_SEWER4,zombie_armed_sewer4,24,1,1,0,Attack,19,16,21,30,1,1,,,,274,"{""50"":10,""5"":9,""6"":8,""7"":12,""8"":10,""10"":7,""26"":1,""14"":5}"
59,Zombie,ZOMBIE_ARMED_RURAL1,zombie_armed_rural1,24,1,1,0,Attack,19,16,21,30,1,1,,,,274,"{""50"":10,""5"":9,""6"":8,""7"":12,""8"":10,""10"":7,""26"":1,""14"":5}"
60,Zombie,ZOMBIE_ARMED_RURAL2,zombie_armed_rural2,24,1,1,0,Attack,19,16,21,30,1,1,,,,274,"{""50"":10,""5"":9,""6"":8,""7"":12,""8"":10,""10"":7,""26"":1,""14"":5}"
61,Zombie,ZOMBIE_ARMED_RURAL3,zombie_armed_rural3,24,1,1,0,Attack,19,16,21,30,1,1,,,,274,"{""50"":10,""5"":9,""6"":8,""7"":12,""8"":10,""10"":7,""26"":1,""14"":5}"
62,Zombie,ZOMBIE_ARMED_RURAL4,zombie_armed_rural4,24,1,1,0,Attack,19,16,21,30,1,1,,,,274,"{""50"":10,""5"":9,""6"":8,""7"":12,""8"":10,""10"":7,""26"":1,""14"":5}"
63,Zombie,ZOMBIE_ARMED_RURAL5,zombie_armed_rural5,24,1,1,0,Attack,19,16,21,30,1,1,,,,274,"{""50"":10,""5"":9,""6"":8,""7"":12,""8"":10,""10"":7,""26"":1,""14"":5}"
64,Zombie,ZOMBIE_ENTRANAN,zombie_entranan,25,1,1,0,Attack,19,21,21,30,1,1,,,,274,"{""50"":10,""5"":10,""6"":8,""7"":12,""8"":10,""10"":7,""26"":1}"
65,Zombie,ZOMBIE_ENTRANAN2,zombie_entranan2,25,1,1,0,Attack,19,21,21,30,1,1,,,,274,"{""50"":10,""5"":10,""6"":8,""7"":12,""8"":10,""10"":7,""26"":1}"
66,Zombie,ZOMBIE_ENTRANAN3,zombie_entranan3,25,1,1,0,Attack,19,21,21,30,1,1,,,,274,"{""50"":10,""5"":10,""6"":8,""7"":12,""8"":10,""10"":7,""26"":1}"
67,Zombie,ZOMBIE_ENTRANAN4,zombie_entranan4,25,1,1,0,Attack,19,21,21,30,1,1,,,,274,"{""50"":10,""5"":10,""6"":8,""7"":12,""8"":10,""10"":7,""26"":1}"
68,Zombie,ZOMBIE_ENTRANAN5,zombie_entranan5,25,1,1,0,Attack,19,21,21,30,1,1,,,,274,"{""50"":10,""5"":10,""6"":8,""7"":12,""8"":10,""10"":7,""26"":1}"
69,Summoned Zombie,SUMMONEDZOMBIE,summonedzombie,13,1,1,0,Attack,8,10,9,22,1,1,,,,274,"{""50"":10,""26"":2}"
70,Skeleton,SKELETON_UNARMED,skeleton_unarmed,22,1,1,0,Attack,15,17,18,29,1,1,,,,257,"{""50"":11,""5"":5,""6"":5,""7"":-5,""8"":0}"
71,Skeleton,SKELETON_UNARMED2,skeleton_unarmed2,22,1,1,0,Attack,15,17,18,29,1,1,,,,257,"{""50"":11,""5"":5,""6"":5,""7"":-5,""8"":0}"
72,Skeleton,SKELETON_UNARMED3,skeleton_unarmed3,22,1,1,0,Attack,15,17,18,29,1,1,,,,257,"{""50"":11,""5"":5,""6"":5,""7"":-5,""8"":0,""26"":2}"
73,Skeleton,SKELETON_UNARMED4,skeleton_unarmed4,22,1,1,0,Attack,15,17,18,29,1,1,,,,257,"{""50"":11,""5"":5,""6"":5,""7"":-5,""8"":0,""26"":2}"
74,Skeleton,SKELETON_UNAGRESSIVE,skeleton_unagressive,21,1,1,0,Attack,17,17,17,24,1,1,,,,257,"{""50"":11,""5"":5,""6"":5,""7"":-5,""8"":0}"
75,Skeleton,SKELETON_UNAGRESSIVE2,skeleton_unagressive2,21,1,1,0,Attack,17,17,17,24,1,1,,,,257,"{""50"":11,""5"":5,""6"":5,""7"":-5,""8"":0}"
76,Skeleton,SKELETON_UNAGRESSIVE3,skeleton_unagressive3,21,1,1,0,Attack,17,17,17,24,1,1,,,,257,"{""50"":11,""5"":5,""6"":5,""7"":-5,""8"":0}"
77,Skeleton,SKELETON_ARMED,skeleton_armed,25,1,1,0,Attack,24,24,24,17,1,1,,,,257,"{""50"":11,""5"":9,""6"":11,""7"":-2,""8"":1,""26"":1,""10"":14,""14"":4}"
78,Skeleton,SKELETON_ARMED2,skeleton_armed2,25,1,1,0,Attack,24,24,24,17,1,1,,,,257,"{""50"":11,""5"":9,""6"":11,""7"":-2,""8"":1,""26"":1,""10"":14,""14"":4}"
79,Skeleton,SKELETON_ARMED3,skeleton_armed3,25,1,1,0,Attack,24,24,24,17,1,1,,,,257,"{""50"":11,""5"":9,""6"":11,""7"":-2,""8"":1,""26"":1,""10"":14,""14"":4}"
80,Skeleton,SKELETON_ARMED4,skeleton_armed4,25,1,1,0,Attack,24,24,24,17,1,1,,,,257,"{""50"":11,""5"":9,""6"":11,""7"":-2,""8"":1,""26"":1,""10"":14,""14"":4}"
81,Skeleton,SKELETON_ARMED5,skeleton_armed5,25,1,1,0,Attack,24,24,24,17,1,1,,,,257,"{""50"":11,""5"":9,""6"":11,""7"":-2,""8"":1,""26"":1,""10"":14,""14"":4}"
82,Skeleton,GIANTSKELETON,giantskeleton,45,1,1,0,Attack,32,36,35,59,1,1,,,,257,"{""50"":11,""5"":9,""6"":11,""7"":-2,""8"":1,""10"":14,""26"":1,""14"":4}"
83,Skeleton,GIANTSKELETON2,giantskeleton2,45,1,1,0,Attack,32,36,35,59,1,1,,,,257,"{""50"":11,""5"":9,""6"":11,""7"":-2,""8"":1,""10"":14,""26"":1,""14"":4}"
84,Skeleton Mage,SKELETONMAGE,skeletonmage,16,1,1,0,Attack,14,14,14,17,1,18,,,,257,"{""50"":11,""26"":2}"
85,Ghost,GHOST,ghost,19,1,1,0,Attack,13,18,13,25,1,1,,,,278,"{""50"":12,""5"":5,""6"":5,""7"":5,""8"":-5,""26"":2}"
86,Ghost,GHOST2,ghost2,19,1,1,0,Attack,13,18,13,25,1,1,,,,278,"{""50"":12,""5"":5,""6"":5,""7"":5,""8"":-5,""26"":2}"
87,Ghost,GHOST3,ghost3,19,1,1,0,Attack,13,18,13,25,1,1,,,,278,"{""50"":12,""5"":5,""6"":5,""7"":5,""8"":-5,""26"":2}"
88,Ghost,GHOST4,ghost4,19,1,1,0,Attack,13,18,13,25,1,1,,,,278,"{""50"":12,""5"":5,""6"":5,""7"":5,""8"":-5,""26"":2}"
89,Ghost,GHOST5,ghost5,19,1,1,0,Attack,13,18,13,25,1,1,,,,278,"{""50"":12,""5"":5,""6"":5,""7"":5,""8"":-5,""26"":2}"
90,Ghost,GHOST6,ghost6,19,1,1,0,Attack,13,18,13,25,1,1,,,,278,"{""50"":12,""5"":5,""6"":5,""7"":5,""8"":-5,""26"":2}"
91,Ghost,GHOST7,ghost7,19,1,1,0,Attack,13,18,13,25,1,1,,,,278,"{""50"":12,""5"":5,""6"":5,""7"":5,""8"":-5,""26"":2}"
92,Ghost,GHOST8,ghost8,19,1,1,0,Attack,13,18,13,25,1,1,,,,278,"{""50"":12,""5"":5,""6"":5,""7"":5,""8"":-5,""26"":2}"
93,Ghost,GHOST_UNAGGRESSIVE,ghost_unaggressive,19,1,1,0,Attack,13,18,13,25,1,1,,,,278,"{""50"":12,""5"":5,""6"":5,""7"":5,""8"":-5,""26"":2}"
94,Ghost,GHOST2_UNAGGRESSIVE,ghost2_unaggressive,19,1,1,0,Attack,13,18,13,25,1,1,,,,278,"{""50"":12,""5"":5,""6"":5,""7"":5,""8"":-5,""26"":2}"
95,Ghost,GHOST3_UNAGGRESSIVE,ghost3_unaggressive,19,1,1,0,Attack,13,18,13,25,1,1,,,,278,"{""50"":12,""5"":5,""6"":5,""7"":5,""8"":-5,""26"":2}"
96,Ghost,GHOST4_UNAGGRESSIVE,ghost4_unaggressive,19,1,1,0,Attack,13,18,13,25,1,1,,,,278,"{""50"":12,""5"":5,""6"":5,""7"":5,""8"":-5,""26"":2}"
97,Ghost,GHOST5_UNAGGRESSIVE,ghost5_unaggressive,19,1,1,0,Attack,13,18,13,25,1,1,,,,278,"{""50"":12,""5"":5,""6"":5,""7"":5,""8"":-5,""26"":2}"
98,Ghost,GHOST6_UNAGGRESSIVE,ghost6_unaggressive,19,1,1,0,Attack,13,18,13,25,1,1,,,,278,"{""50"":12,""5"":5,""6"":5,""7"":5,""8"":-5,""26"":2}"
99,Ghost,GHOST7_UNAGGRESSIVE,ghost7_unaggressive,19,1,1,0,Attack,13,18,13,25,1,1,,,,278,"{""50"":12,""5"":5,""6"":5,""7"":5,""8"":-5,""26"":2}"
100,Rock Crab,HORROR_ROCKCRAB,horror_rockcrab,13,1,0,0,Attack,1,1,1,50,1,1,,,,0,"{""50"":125}"
101,Rocks,HORROR_ROCKCRAB_INACTIVE,horror_rockcrab_inactive,0,1,0,0,,1,1,1,50,1,1,,,,0,
102,Rock Crab,HORROR_ROCKCRAB_SMALL,horror_rockcrab_small,13,1,0,0,Attack,1,1,1,50,1,1,,,,0,"{""50"":125}"
103,Rocks,HORROR_ROCKCRAB_SMALL_INACTIVE,horror_rockcrab_small_inactive,0,1,0,0,,1,1,1,50,1,1,,,,0,
104,Hellhound,HELLHOUND,hellhound,122,2,1,0,Attack,105,102,104,116,1,1,,,,217,"{""50"":31,""26"":0,""46"":25769}"
105,Hellhound,HELLHOUND_STRONGHOLDCAVE,hellhound_strongholdcave,122,2,1,0,Attack,105,102,104,116,1,1,,,,217,"{""50"":31,""26"":0,""46"":25769}"
106,Wolf,WOLF,wolf,64,2,1,0,Attack,50,52,55,69,1,1,,,,310,"{""50"":9,""26"":0,""46"":2859}"
107,White wolf,WHITEWOLF_SENTRY,whitewolf_sentry,25,2,1,0,Attack,20,22,16,34,1,1,,,,310,"{""50"":9,""26"":0,""46"":2859}"
108,White wolf,WHITEWOLF,whitewolf,38,2,1,0,Attack,30,32,31,44,1,1,,,,310,"{""50"":9,""26"":0,""46"":2859}"
109,Big Wolf,WOLFPACK_LEADER_WHITER,wolfpack_leader_whiter,73,2,1,0,Attack,60,62,61,74,1,1,,,,310,"{""50"":9,""26"":0,""46"":2859}"
110,Wolf,PACK_WOLF_WHITER,pack_wolf_whiter,25,2,1,0,Attack,20,22,16,34,1,1,,,,310,"{""50"":9,""26"":0,""46"":2859}"
111,Dog,DOG,dog,0,1,1,0,Pet,1,1,1,1,1,1,,,,342,"{""50"":22}"
112,Wild dog,DOG_WILD,dog_wild,63,1,1,0,Attack,53,54,54,62,1,1,,,,342,"{""50"":22,""26"":0}"
113,Wild dog,DOG_WILD_2,dog_wild_2,63,1,1,0,Attack,53,54,54,62,1,1,,,,342,"{""50"":22,""26"":0}"
114,Guard dog,GUARDDOG,guarddog,44,1,1,0,Attack,35,37,36,49,1,1,,,,342,"{""50"":22}"
115,Big Wolf,WOLFPACK_LEADER,wolfpack_leader,73,2,1,0,Attack,60,62,61,74,1,1,,,,310,"{""50"":9,""26"":0,""46"":2859}"
116,Wolf,PACK_WOLF,pack_wolf,25,2,1,0,Attack,20,22,16,34,1,1,,,,310,"{""50"":9,""26"":0,""46"":2859}"
117,Wolf,PACK_WOLF2,pack_wolf2,25,2,1,0,Attack,20,22,16,34,1,1,,,,310,"{""50"":9,""26"":0,""46"":2859}"
118,Ignatius Vulcan,SKILLCAPES_FIREMASTER,skillcapes_firemaster,0,1,1,0,Talk-to,1,1,1,1,1,1,,,,0,
119,null,CWS_DOOMSAYER,cws_doomsayer,0,1,1,0,,1,1,1,1,1,1,4153,,"[6773,6774,-1]",922,
120,Aggie,AGGIE_1OP,aggie_1op,0,1,1,0,Talk-to,1,1,1,1,1,1,,,,0,
121,Aggie,AGGIE_2OPS,aggie_2ops,0,1,1,0,Talk-to|Dyes,1,1,1,1,1,1,,,,0,
122,null,GRANDTREE_CHARLIE_MULTI,grandtree_charlie_multi,1,1,1,0,,1,1,1,1,1,1,,150,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1428,-1,-1,-1,-1,-1,-1,-1,-1,-1,1428,-1,-1,-1,-1,-1,-1,-1,-1,-1,1428,-1,-1,-1,-1,-1,-1,-1,-1,-1,1428,-1,-1,-1,-1,-1,-1,-1,-1,-1,1428,-1,-1,-1,-1,-1,-1,-1,-1,-1,1428,-1,-1,-1,-1,-1,-1,-1,-1,-1,1428,-1,-1,-1,-1,-1,-1,-1,-1,-1,1428,-1,-1,-1,-1,-1,-1,-1,-1,-1,1428,-1,-1,-1,-1,-1,-1,-1,-1,-1,1428,-1,-1,-1,-1,-1,-1,-1,-1,-1,1428,-1,-1,-1,-1,-1,-1,-1,-1,-1,1428,-1]",2162,
123,null,YAMA_THRONE,yama_throne,0,7,0,0,Talk-to|Challenge,1,1,1,1,1,1,16286,,"[124,14157,-1]",0,
124,Yama,YAMA_THRONE_OCCUPIED,yama_throne_occupied,0,1,0,0,Talk-to|Challenge,1,1,1,1,1,1,,,,0,
125,Left head,POH_MOUNTED_KBD_LEFT,poh_mounted_kbd_left,0,1,1,0,,1,1,1,1,1,1,,,,0,
126,Middle head,POH_MOUNTED_KBD_MIDDLE,poh_mounted_kbd_middle,0,1,1,0,,1,1,1,1,1,1,,,,0,
127,Right head,POH_MOUNTED_KBD_RIGHT,poh_mounted_kbd_right,0,1,1,0,,1,1,1,1,1,1,,,,0,
128,Kalphite Queen,POH_MOUNTED_KQ,poh_mounted_kq,0,1,1,0,,1,1,1,1,1,1,,,,0,
129,Tentacle,POH_TENTACLE_MONSTER,poh_tentacle_monster,0,1,1,0,,20,20,20,20,1,1,,,,0,
130,Skeleton,POH_SKELETON,poh_skeleton,22,1,1,0,Attack,15,17,18,29,1,1,,,,206,"{""5"":9,""6"":11,""7"":-2,""8"":1,""10"":14,""14"":4}"
131,Guard dog,POH_GUARDDOG,poh_guarddog,44,1,1,0,Attack,35,37,36,49,1,1,,,,206,
132,Hobgoblin,POH_HOBGOBLIN,poh_hobgoblin,54,1,1,0,Attack,45,43,43,62,1,1,,,,206,"{""5"":1,""6"":1,""7"":0,""8"":0,""10"":10,""14"":6}"
133,Troll,POH_TROLL,poh_troll,91,1,1,0,Attack,50,50,100,120,0,0,,,,206,"{""5"":25,""6"":25,""7"":40,""8"":200,""10"":70}"
134,Huge spider,POH_GIANTSPIDER,poh_giantspider,81,2,1,0,Attack,59,69,70,90,1,1,,,,206,
135,Hellhound,POH_HELLHOUND,poh_hellhound,122,2,1,0,Attack,105,102,104,116,1,1,,,,206,
136,Ogre,POH_OGRE,poh_ogre,53,2,1,0,Attack,43,43,43,60,1,1,,,,206,"{""5"":0,""6"":0,""7"":0,""8"":0,""10"":20,""14"":6}"
137,Baby red dragon,POH_BABYREDDRAGON,poh_babyreddragon,65,2,1,0,Attack,55,55,55,65,1,1,,,,0,"{""5"":5,""6"":50,""7"":50,""8"":40,""26"":1,""46"":534,""190"":1}"
138,Kalphite Soldier,POH_KALPHITE_SOLDIER,poh_kalphite_soldier,85,3,1,0,Attack,70,70,70,90,1,1,,,,206,"{""5"":25,""6"":25,""7"":5,""8"":50,""1353"":1}"
139,Steel dragon,POH_STEEL_DRAGON,poh_steel_dragon,246,3,1,0,Attack,215,215,215,210,1,100,,,,206,"{""5"":0,""6"":70,""7"":70,""8"":30,""26"":1,""46"":536,""190"":1}"
140,Dagannoth,POH_DAGGANOTH,poh_dagganoth,135,3,1,0,Attack,114,98,117,142,1,1,,,,206,"{""5"":50,""6"":50,""7"":50,""8"":50,""26"":0,""10"":50}"
141,Tok-Xil,POH_TOK_XIL,poh_tok_xil,135,3,1,0,Attack,120,90,180,60,180,90,,,,206,"{""26"":2}"
142,Demon,POH_DEMON,poh_demon,82,2,1,0,Attack,68,71,70,79,1,1,,,,206,"{""8"":-10,""26"":2}"
143,Rocnar,POH_OUB_MONSTER1,poh_oub_monster1,97,2,1,0,Attack,80,80,80,100,1,1,,,,206,"{""5"":0,""6"":0,""7"":0,""8"":0,""10"":20,""14"":6}"
144,Hangman game,POH_HANGMAN_ARMOUR1,poh_hangman_armour1,0,2,1,0,Guess-letter|Banish,1,1,1,1,1,1,,,,297,
145,Hangman game,POH_HANGMAN_ARMOUR2,poh_hangman_armour2,0,2,1,0,Guess-letter|Banish,1,1,1,1,1,1,,,,297,
146,Hangman game,POH_HANGMAN_ARMOUR3,poh_hangman_armour3,0,2,1,0,Guess-letter|Banish,1,1,1,1,1,1,,,,297,
147,Hangman game,POH_HANGMAN_ARMOUR4,poh_hangman_armour4,0,2,1,0,Guess-letter|Banish,1,1,1,1,1,1,,,,297,
148,Hangman game,POH_HANGMAN_ARMOUR5,poh_hangman_armour5,0,2,1,0,Guess-letter|Banish,1,1,1,1,1,1,,,,297,
149,Hangman game,POH_HANGMAN_ARMOUR6,poh_hangman_armour6,0,2,1,0,Guess-letter|Banish,1,1,1,1,1,1,,,,297,
150,Hangman game,POH_HANGMAN_ARMOUR7,poh_hangman_armour7,0,2,1,0,Guess-letter|Banish,1,1,1,1,1,1,,,,297,
