id,name,runelite_const,config_name,size_x,size_y,ops,blocks_projectile,obstructs_ground,wall_or_door,varbit_id,varp_id,multi_children,category,map_scene_id
30,Clock spindle,BROKECLOCKPOLE_BLACK,brokeclockpole_black,1,1,,1,0,1,,,,0,
31,Clock spindle,BROKECLOCKPOLE_WHITE,brokeclockpole_white,1,1,,1,0,1,,,,0,
32,Clock spindle,BROKECLOCKPOLE_BLUE,brokeclockpole_blue,1,1,,1,0,1,,,,0,
33,Lever,CTLEVERA,ctlevera,1,1,Pull,1,0,1,,,,0,
34,Lever,CTLEVERB,ctleverb,1,1,Pull,1,0,1,,,,0,
35,Lever,CTLEVERA2,ctlevera2,1,1,Pull,1,0,1,,,,0,
36,Lever,CTLEVERB2,ctleverb2,1,1,Pull,1,0,1,,,,0,
37,Gate,CTRATGATEA,ctratgatea,1,1,Open,1,0,1,,,,0,
38,Gate,CTRATGATEB,ctratgateb,1,1,Open,1,0,1,,,,0,
39,Gate,CTRATGATEC,ctratgatec,1,1,Go-through,1,0,1,,,,0,
40,Food trough,CTFOODTROUGH,ctfoodtrough,2,1,,1,0,1,,,,0,
41,Wall Pipe,GARLICPIPE,garlicpipe,1,1,Search,1,0,1,,,,0,
42,Fishing spot,COMPOFISHSPOT,compofishspot,1,1,Fish,1,0,1,,,,0,
43,Water,INACTIVEFISHSPOT,inactivefishspot,1,1,,1,0,1,,,,0,
44,Fishing spot,SINISTERFISHSPOT,sinisterfishspot,1,1,Fish,1,0,1,,,,0,
45,Fishing spot,BIGDAVEFISHSPOT,bigdavefishspot,1,1,Fish,1,0,1,,,,0,
46,Fishing spot,JOSHUAFISHSPOT,joshuafishspot,1,1,Fish,1,0,1,,,,0,
47,Gate,FISHINGGATECLOSEDL,fishinggateclosedl,1,1,Open,1,0,1,,,,0,
48,Gate,FISHINGGATECLOSEDR,fishinggateclosedr,1,1,Open,1,0,1,,,,0,
49,Gate,INACFISHINGGATECLOSEDL,inacfishinggateclosedl,1,1,,1,0,1,,,,0,
50,Gate,INACFISHINGGATECLOSEDR,inacfishinggateclosedr,1,1,,1,0,1,,,,0,
51,Loose Railing,MCGRUBORLOOSERAILING,mcgruborlooserailing,1,1,Squeeze-through,1,0,1,,,,0,
52,Gate,MCGRUBORGATEL,mcgruborgatel,1,1,Open,1,0,1,,,,0,
53,Gate,MCGRUBORGATER,mcgruborgater,1,1,Open,1,0,1,,,,0,
54,Stairs,TUNNELSTAIRS,tunnelstairs,2,3,Climb-up,1,0,1,,,,0,7
55,Stairs,TUNNELSTAIRSTOP,tunnelstairstop,2,2,Climb-down,1,0,1,,,,0,7
56,Stairs,TUNNELSTAIRS2,tunnelstairs2,2,3,Climb-up,1,0,1,,,,0,7
57,Stairs,TUNNELSTAIRSTOP2,tunnelstairstop2,2,2,Climb-down,1,0,1,,,,0,7
58,Vine,RED_WORM_VINE,red_worm_vine,1,1,Check,0,0,1,,,,216,
59,Door,JEWELLERSDOOR,jewellersdoor,1,1,Open,1,0,1,,,,0,
60,Ladder,JEWELLERSLADDER,jewellersladder,1,1,Climb-up,1,0,1,,,,0,7
61,Chaos altar,THRANTAXALTAR,thrantaxaltar,2,1,Pray-at|Check,1,0,1,,,,897,
62,Giant crystal,MERLINS_CRYSTAL,merlins_crystal,2,2,Smash,1,0,1,,,,0,
63,Crate,MERLINCRATE_EMPTY,merlincrate_empty,1,1,Hide-in,1,0,1,,,,0,
64,Crate,MERLINCRATE_EMPTY2,merlincrate_empty2,1,1,Hide-in,1,0,1,,,,0,
65,null,MERLINCRATE_WALL,merlincrate_wall,1,1,,1,0,0,,,,0,
66,null,BRIMHAVEN_BACKDOOR_ENTRANCE,brimhaven_backdoor_entrance,2,2,,0,0,1,5629,,"[30199,30200,30200,30200,-1]",0,
67,Crate,MERLINCRATE_BUCKET,merlincrate_bucket,1,1,Check,1,0,1,,,,0,
68,Beehive,MERLIN_BEEHIVE,merlin_beehive,1,1,Take-from,1,0,1,,,,0,
69,Gangplank,ARHEIN_SHIP_ON,arhein_ship_on,1,1,Cross,1,0,1,,,,0,
70,Gangplank,ARHEIN_SHIP_OFF,arhein_ship_off,1,1,Cross,1,0,1,,,,0,
71,Large door,LEFAYEUNOPENABLEDOORL,lefayeunopenabledoorl,1,1,Open|Knock-at,1,0,1,,,,0,
72,Large door,LEFAYEUNOPENABLEDOORR,lefayeunopenabledoorr,1,1,Open|Knock-at,1,0,1,,,,0,
73,Large door,INACLEFAYEUNOPENABLEDOORL,inaclefayeunopenabledoorl,1,1,Open,1,0,1,,,,0,
74,Large door,INACLEFAYEUNOPENABLEDOORR,inaclefayeunopenabledoorr,1,1,Open,1,0,1,,,,0,
75,Chest,ARENA_GUARD_CHEST_SHUT,arena_guard_chest_shut,1,1,Search,1,0,1,,,,0,
76,Chest,ARENA_GUARD_CHEST_OPEN,arena_guard_chest_open,1,1,,1,0,1,,,,0,
77,Prison Gate,ARENA_INACTIVEGATE,arena_inactivegate,1,1,,1,0,1,,,,0,
78,Prison Gate,ARENA_INACTIVEGATE_R,arena_inactivegate_r,1,1,,1,0,1,,,,0,
79,Prison Gate,ARENA_PRISONDOOR,arena_prisondoor,1,1,Open,0,0,1,,,,0,
80,Prison Gate,ARENA_JEREMYDOOR,arena_jeremydoor,1,1,Open,0,0,1,,,,0,
81,Door,FIGHTARENA_DOOR1,fightarena_door1,1,1,Open,1,0,1,,,,0,
82,Door,FIGHTARENA_DOOR2,fightarena_door2,1,1,Open,1,0,1,,,,0,
83,null,FARMING_PATCH_SHADOW,farming_patch_shadow,1,1,,0,0,0,,,,0,
84,null,_00,00,1,1,,0,0,0,,,,0,
85,null,INVISWALL_BLOCKRANGE,inviswall_blockrange,1,1,,1,0,0,,,,0,22
86,Lever bracket,IKOV_LEVERBRACKET,ikov_leverbracket,1,1,,1,0,1,,,,0,
87,Lever,IKOV_MENDEDLEVER,ikov_mendedlever,1,1,Pull,1,0,1,,,,0,
88,null,IKOV_LEVERDOWN,ikov_leverdown,1,1,,1,0,0,,,,0,
89,Gate,IKOV_MENDEDLEVERDOORL,ikov_mendedleverdoorl,1,1,Open,0,0,1,,,,0,
90,Gate,IKOV_MENDEDLEVERDOORR,ikov_mendedleverdoorr,1,1,Open,0,0,1,,,,0,
91,Lever,IKOV_TRAPLEVER,ikov_traplever,1,1,Pull|Search for traps,1,0,1,,,,0,
92,Door,IKOV_TRAPLEVERDOOR,ikov_trapleverdoor,1,1,Open,1,0,1,,,,0,
93,Door,IKOV_FIREWARRIORDOOR,ikov_firewarriordoor,1,1,Open,1,0,1,,,,0,
94,Gate,IKOV_DOOROFFEARL,ikov_dooroffearl,1,1,Open,0,0,1,,,,0,
95,Gate,IKOV_DOOROFFEARR,ikov_dooroffearr,1,1,Open,0,0,1,,,,0,
96,Stairs,IKOV_DARKSTAIRS,ikov_darkstairs,2,3,Climb-up,1,0,1,,,,0,
97,null,IKOV_DARKSTAIRSTOP,ikov_darkstairstop,2,2,,1,0,0,,,,0,
98,Stairs,IKOV_DARKSTAIRSDOWN,ikov_darkstairsdown,2,3,Climb-down,1,0,1,,,,0,
99,Door,IKOV_SHINYKEYDOOR,ikov_shinykeydoor,1,1,Open,1,0,1,,,,0,
100,Trapdoor,IKOV_TRAPDOOR,ikov_trapdoor,1,1,Open,0,0,1,,,,0,
101,Ladder,IKOV_TRAPLADDER,ikov_trapladder,1,1,Climb-up,1,0,1,,,,0,7
102,Door,IKOV_LUCIENDOOR,ikov_luciendoor,1,1,Open,1,0,1,,,,0,
103,Closed chest,IKOV_CHESTCLOSED,ikov_chestclosed,1,1,Open,1,0,1,,,,0,
104,Open chest,IKOV_CHESTOPEN,ikov_chestopen,1,1,Search|Shut,1,0,1,,,,0,
105,Trapdoor,HIDDENTRAPDOOR_CLOSED,hiddentrapdoor_closed,1,1,,0,0,1,,,,0,
106,Trapdoor,HIDDENTRAPDOOR_OPEN,hiddentrapdoor_open,1,1,,0,0,1,,,,0,
107,null,RUGCORNER_VERYDARK,rugcorner_verydark,1,1,,1,0,0,,,,0,
108,null,RUGSIDE_VERYDARK,rugside_verydark,1,1,,1,0,0,,,,0,
109,null,RUGMIDDLE_VERYDARK,rugmiddle_verydark,1,1,,1,0,0,,,,0,
110,null,FUR_A_VERYDARK,fur_a_verydark,1,1,,1,0,0,,,,0,
111,null,FUR_B_VERYDARK,fur_b_verydark,1,1,,1,0,0,,,,0,
112,null,FUR_C_VERYDARK,fur_c_verydark,1,1,,1,0,0,,,,0,
113,null,FUR_D_VERYDARK,fur_d_verydark,1,1,,1,0,0,,,,0,
114,Cooking range,COOKSQUESTRANGE,cooksquestrange,1,2,Cook,1,0,1,,,,0,
115,Party Balloon,BALLOON_YELLOW,balloon_yellow,1,1,Burst,0,0,1,,,,0,
116,Party Balloon,BALLOON_RED,balloon_red,1,1,Burst,0,0,1,,,,0,
117,Party Balloon,BALLOON_BLUE,balloon_blue,1,1,Burst,0,0,1,,,,0,
118,Party Balloon,BALLOON_GREEN,balloon_green,1,1,Burst,0,0,1,,,,0,
119,Party Balloon,BALLOON_PURPLE,balloon_purple,1,1,Burst,0,0,1,,,,0,
120,Party Balloon,BALLOON_WHITE,balloon_white,1,1,Burst,0,0,1,,,,0,
121,Party Balloon,BALLOON2,balloon2,1,1,Burst,0,0,1,,,,0,
122,Party Balloon,BALLOON3,balloon3,1,1,Burst,0,0,1,,,,0,
123,Party Balloon,BALLOON_YELLOW_POP,balloon_yellow_pop,1,1,,0,0,1,,,,0,
124,Party Balloon,BALLOON_RED_POP,balloon_red_pop,1,1,,0,0,1,,,,0,
125,Party Balloon,BALLOON_BLUE_POP,balloon_blue_pop,1,1,,0,0,1,,,,0,
126,Party Balloon,BALLOON_GREEN_POP,balloon_green_pop,1,1,,0,0,1,,,,0,
127,Party Balloon,BALLOON_PURPLE_POP,balloon_purple_pop,1,1,,0,0,1,,,,0,
128,Party Balloon,BALLOON_WHITE_POP,balloon_white_pop,1,1,,0,0,1,,,,0,
129,Party Balloon,BALLOON2_POP,balloon2_pop,1,1,,0,0,1,,,,0,
130,Party Balloon,BALLOON3_POP,balloon3_pop,1,1,,0,0,1,,,,0,
131,Door,CLOSET_DOOR,closet_door,1,1,Open,1,0,1,,,,0,
132,Ladder,PUZZLE_LADDER,puzzle_ladder,1,1,Climb-up,1,0,1,,,,0,7
133,Ladder,PUZZLE_LADDER_TOP,puzzle_ladder_top,1,1,Climb-down,1,0,1,,,,0,7
134,Large door,HAUNTEDDOORL,haunteddoorl,1,1,Open,1,0,1,,,,0,
135,Large door,HAUNTEDDOORR,haunteddoorr,1,1,Open,1,0,1,,,,0,
136,Door,HAUNTEDBACKDOOR,hauntedbackdoor,1,1,Open,1,0,1,,,,0,
137,null,_1TO2,1to2,1,1,,1,0,1,1794,,"[11449,11450,-1]",0,
138,null,_2TO3,2to3,1,1,,1,0,1,1795,,"[11449,11450,-1]",0,
139,null,_4TO5,4to5,1,1,,1,0,1,1796,,"[11449,11450,-1]",0,
140,null,_5TO6,5to6,1,1,,1,0,1,1797,,"[11449,11450,-1]",0,
141,null,_8TO9,8to9,1,1,,1,0,1,1798,,"[11449,11450,-1]",0,
142,null,_2TO5,2to5,1,1,,1,0,1,1799,,"[11449,11450,-1]",0,
143,null,_3TO6,3to6,1,1,,1,0,1,1800,,"[11449,11450,-1]",0,
144,null,_4TO7,4to7,1,1,,1,0,1,1801,,"[11449,11450,-1]",0,
145,null,_5TO8,5to8,1,1,,1,0,1,1802,,"[11449,11450,-1]",0,
146,null,LEVERA,levera,1,1,,1,0,1,1788,,"[11451,11452,-1]",0,
147,null,LEVERB,leverb,1,1,,1,0,1,1789,,"[11453,11454,-1]",0,
148,null,LEVERC,leverc,1,1,,1,0,1,1790,,"[11455,11456,-1]",0,
149,null,LEVERD,leverd,1,1,,1,0,1,1791,,"[11457,11458,-1]",0,
150,null,LEVERE,levere,1,1,,1,0,1,1792,,"[11459,11460,-1]",0,
151,null,LEVERF,leverf,1,1,,1,0,1,1793,,"[11461,11462,-1]",0,
152,Compost heap,HAUNTEDCOMPOSTHEAP,hauntedcompostheap,2,2,Search,1,0,1,,,,0,
153,Fountain,HAUNTEDFOUNTAIN,hauntedfountain,2,2,Search,1,0,1,,,,0,
154,Rocks,TAVERLEY_DRAGON_JUMPUP,taverley_dragon_jumpup,1,1,Jump-up,1,0,1,,,,0,24
155,Bookcase,HAUNTEDBOOKCASEL,hauntedbookcasel,1,1,Search,1,0,1,,,,0,
156,Bookcase,HAUNTEDBOOKCASER,hauntedbookcaser,1,1,Search,1,0,1,,,,0,
157,Bookcase,HAUNTEDBOOKCASEOPEN,hauntedbookcaseopen,1,1,,1,0,1,,,,0,
158,Wall,HAUNTEDWALLL,hauntedwalll,1,1,,1,0,1,,,,0,
159,Wall,HAUNTEDWALLR,hauntedwallr,1,1,,1,0,1,,,,0,
160,Lever,HAUNTEDLEVERUP,hauntedleverup,1,1,Pull,1,0,1,,,,0,
161,null,HAUNTEDLEVERDOWN,hauntedleverdown,1,1,,1,0,0,,,,0,
162,Strange machine,MADMACHINE1,madmachine1,1,1,,1,0,1,,,,0,
163,Strange machine,MADMACHINE2,madmachine2,1,2,,1,0,1,,,,0,
164,Strange machine,MADMACHINE3,madmachine3,1,1,,1,0,1,,,,0,
165,Incinerator,PLAGUESHEEP_FURNACE,plaguesheep_furnace,2,3,,1,0,1,,,,0,
166,Gate,PLAGUESHEEP_GATEL,plaguesheep_gatel,1,1,Open,1,0,1,,,,0,
167,Gate,PLAGUESHEEP_GATER,plaguesheep_gater,1,1,Open,1,0,1,,,,0,
168,null,DECKING_TWISTER,decking_twister,1,1,,1,1,0,,,,0,
169,null,DECKING_BORDER,decking_border,1,1,,1,0,0,,,,0,
170,Closed chest,MUDDY_CHESTCLOSED,muddy_chestclosed,1,1,Open,1,0,1,,,,0,
171,Open chest,MUDDY_CHESTOPEN,muddy_chestopen,1,1,,1,0,1,,,,0,
172,Closed chest,CRYSTAL_CHESTCLOSED,crystal_chestclosed,1,1,Open,1,0,1,,,,0,
173,Open chest,CRYSTAL_CHESTOPEN,crystal_chestopen,1,1,,1,0,1,,,,0,
174,null,RUBBLE_1,rubble_1,1,1,,1,0,0,,,,0,
175,null,RUBBLE_2,rubble_2,1,1,,1,0,0,,,,0,
176,null,GRAVEL_BROWN_2,gravel_brown_2,1,1,,1,0,0,,,,0,
177,null,GRAVEL_BROWN_3,gravel_brown_3,1,1,,1,0,0,,,,0,
178,null,GRAVEL_BROWN_4,gravel_brown_4,1,1,,1,0,0,,,,0,
179,null,GRAVEL_1,gravel_1,1,1,,1,0,0,,,,0,
180,null,GRAVEL_3,gravel_3,1,1,,1,0,0,,,,0,
181,null,GRAVEL_4,gravel_4,1,1,,1,0,0,,,,0,
182,null,GRAVEL_5,gravel_5,1,1,,1,0,0,,,,0,
183,null,MUDPILEDOWN,mudpiledown,1,2,,1,0,0,,,,0,
184,null,DUGUPSOIL1_UPASS,dugupsoil1_upass,1,1,,1,0,0,,,,0,
185,null,DUGUPSOIL2_UPASS,dugupsoil2_upass,1,1,,1,0,0,,,,0,
186,null,DUGUPSOIL3_UPASS,dugupsoil3_upass,1,1,,1,0,0,,,,0,
187,Gnome glider,GNOME_GLIDER,gnome_glider,4,4,,0,0,1,,,,0,
188,Crashed glider,GNOME_GLIDERCRASHED,gnome_glidercrashed,4,4,,0,0,1,,,,0,
189,Blurberry bar,GNOMEBAR,gnomebar,1,3,,1,0,1,,,,0,
190,Gate,GNOME_AREAGATE,gnome_areagate,5,2,Open,1,0,1,,,,0,
191,null,GNOME_AREAGATE_OPEN_LEFT,gnome_areagate_open_left,2,2,,1,0,0,,,,0,
192,null,GNOME_AREAGATE_OPEN_RIGHT,gnome_areagate_open_right,2,2,,1,0,0,,,,0,
193,null,GNOME_GATE,gnome_gate,1,1,,1,0,0,,,,0,
194,Hollowed rock,GNOME_CAVEENTRANCE,gnome_caveentrance,4,4,Enter,1,0,1,,,,0,
195,Ladder,GNOME_CAVELADDER,gnome_caveladder,1,1,Climb-up,1,0,1,,,,0,7
196,null,TORCH,torch,1,1,,1,0,0,,,,0,
197,null,TORCH_GRUBBY,torch_grubby,1,1,,1,0,0,,,,0,
198,null,CAVE_TORCH,cave_torch,2,1,,1,0,0,,,,0,
199,null,CAVE_FACETORCH,cave_facetorch,1,1,,1,0,0,,,,0,
200,Lamp,GNOME_LAMP,gnome_lamp,1,1,,1,0,1,,,,0,
201,Lamp,GNOME_LAMP2,gnome_lamp2,1,1,,1,0,1,,,,0,
202,Candles,CANDLES,candles,1,1,,1,0,1,,,,0,
203,Candles,GOLDCANDLES,goldcandles,1,1,,1,0,1,,,,0,
204,Candles,BLACKCANDLES,blackcandles,1,1,,1,0,1,,,,0,
205,null,LANTERN,lantern,1,1,,1,0,0,,,,0,
206,null,SKULLTORCH,skulltorch,1,1,,1,0,0,,,,0,
207,null,SKULLTORCH_GRUBBY,skulltorch_grubby,1,1,,1,0,0,,,,0,
208,Candles,SPOOKYCANDLES,spookycandles,1,1,,1,0,1,,,,0,
209,Chandelier,CHANDALIER,chandalier,1,1,,1,0,1,,,,0,
210,Ice Light,ICE_LIGHT,ice_light,1,1,,1,0,1,,,,0,
211,Candles,CANDLES_DARK,candles_dark,1,1,,1,0,1,,,,0,
212,Sail,BACKSAIL,backsail,5,1,,1,0,1,,,,0,
213,null,BOWCORNERL,bowcornerl,1,1,,1,0,0,,,,0,
214,null,BOWCORNERR,bowcornerr,1,1,,1,0,0,,,,0,
215,null,BOWMIDDLE,bowmiddle,1,1,,1,0,0,,,,0,
216,null,BOWSHORTL,bowshortl,1,1,,1,0,0,,,,0,
217,null,BOWSHORTR,bowshortr,1,1,,1,0,0,,,,0,
218,Sail,FRONTSAIL,frontsail,8,1,,1,0,1,,,,0,
219,null,LONGSTERNL,longsternl,4,1,,1,0,0,,,,0,
220,null,LONGSTERNR,longsternr,4,1,,1,0,0,,,,0,
221,Figurehead,LONGSTERNL_BUST,longsternl+bust,4,1,,1,0,1,,,,0,
222,Figurehead,LONGSTERNR_BUST,longsternr+bust,4,1,,1,0,1,,,,0,
223,null,LONGSTERNRAILINGL,longsternrailingl,4,1,,1,0,0,,,,0,
224,null,LONGSTERNRAILINGR,longsternrailingr,4,1,,1,0,0,,,,0,
225,Sail,MIDDLESAILL,middlesaill,2,2,,1,0,1,,,,0,
226,Sail,MIDDLESAILR,middlesailr,2,2,,1,0,1,,,,0,
227,Pile of rope,PILEOFROPE,pileofrope,1,1,,0,0,1,,,,0,
228,null,SHIPHIGHERWALL,shiphigherwall,1,1,,1,0,0,,,,0,
229,null,SHIPHIGHERWALL_TOP,shiphigherwall_top,1,1,,1,0,0,,,,0,
230,null,SHIPHIGHERWALL_LOW,shiphigherwall_low,1,1,,1,0,0,,,,0,
231,null,SHIPHIGHERWALL_BACK,shiphigherwall_back,2,1,,1,0,0,,,,0,
232,null,SHIPHIGHERWALL_BACKEDGEL,shiphigherwall_backedgel,2,1,,1,0,0,,,,0,
233,null,SHIPHIGHERWALL_BACKEDGER,shiphigherwall_backedger,2,1,,1,0,0,,,,0,
234,null,SHIPHULL,shiphull,1,1,,1,0,0,,,,0,
235,null,SHIPHULL_FILLEDL,shiphull_filledl,1,1,,1,0,0,,,,0,
236,null,SHIPHULL_FILLEDR,shiphull_filledr,1,1,,1,0,0,,,,0,
237,null,SHIP_FULLWALL,ship_fullwall,1,1,,1,0,0,,,,0,
238,null,SHIPHULL_DIAG,shiphull_diag,1,1,,1,0,0,,,,0,
239,null,SHIPHULL_DOUBLEFILLER,shiphull_doublefiller,1,1,,1,0,0,,,,0,
240,null,SHIPHULL_FILLER,shiphull_filler,1,1,,1,0,0,,,,0,
241,null,SHIPHULL_CANNONCLOSED,shiphull+cannonclosed,1,1,,1,0,0,,,,0,
242,null,SHIPHULL_CANNONOPEN,shiphull+cannonopen,2,1,,1,0,0,,,,0,
243,null,SHIPHULL_PORTHOLE,shiphull+porthole,2,1,,1,0,0,,,,0,
244,null,SHIPHULL_WINDOW,shiphull+window,1,1,,1,0,0,,,,0,
245,Ship's ladder,SHIPLADDER_ANGLED,shipladder_angled,1,1,Climb-up,1,0,1,,,,0,
246,Ship's ladder,SHIPLADDER_TOP_ANGLED,shipladder_top_angled,1,1,Climb-down,1,0,1,,,,0,
247,null,SHIP_NET1,ship_net1,1,1,,0,0,0,,,,0,
248,null,SHIP_NET2,ship_net2,1,1,,0,0,0,,,,0,
249,null,SHIPRAIL,shiprail,1,1,,1,0,0,,,,0,
250,null,SHIPRAILSTERN,shiprailstern,1,1,,1,0,0,,,,0,
251,null,SHIPRAILSTERN2,shiprailstern2,1,1,,1,0,0,,,,0,
252,Ship's wheel,STEERINGWHEEL,steeringwheel,1,1,,1,0,1,,,,0,
253,null,STERN,stern,1,1,,1,0,0,,,,0,
254,Figurehead,STERN_BUST,stern+bust,2,1,,1,0,1,,,,0,
255,Winch,WINCH,winch,1,1,Operate,1,0,1,,,,0,
256,null,FRONTMAST,frontmast,8,1,,1,0,0,,,,0,
257,null,FRONTMAST_SUPPORTL,frontmast_supportl,2,1,,1,0,0,,,,0,
258,null,FRONTMAST_SUPPORTR,frontmast_supportr,2,1,,1,0,0,,,,0,
259,null,FRONTMAST_SUPPPORT,frontmast_suppport,2,1,,1,0,0,,,,0,
260,Figurehead,FRONTMAST_SUPPORT_BUST,frontmast_support_bust,2,1,,1,0,1,,,,0,
261,null,MAST1,mast1,1,1,,1,0,0,,,,0,
262,null,MAST2,mast2,1,1,,1,0,0,,,,0,
263,null,MAST3,mast3,1,1,,1,0,0,,,,0,
264,null,MAST4,mast4,1,1,,1,0,0,,,,0,
265,Sail,SAIL1_L,sail1_l,1,3,,1,0,1,,,,0,
266,Sail,SAIL1_R,sail1_r,1,3,,1,0,1,,,,0,
267,Sail,SAIL2_L,sail2_l,1,3,,1,0,1,,,,0,
268,Sail,SAIL2_R,sail2_r,1,3,,1,0,1,,,,0,
269,null,SHIPROPE,shiprope,1,1,,1,0,0,,,,0,
270,null,GANGPLANK,gangplank,1,1,,1,1,0,,,,0,
271,Anchor,ANCHOR,anchor,1,1,,1,0,1,,,,0,
272,Ship's ladder,SHIP_LADDER,ship_ladder,1,1,Climb-up,1,0,1,,,,0,
273,Ship's ladder,SHIP_LADDERTOP,ship_laddertop,1,1,Climb-down,1,0,1,,,,0,
274,Hoisted sail,SAIL1_HOISTEDL,sail1_hoistedl,1,3,,1,0,1,,,,0,
275,Hoisted sail,SAIL1_HOISTEDR,sail1_hoistedr,1,3,,1,0,1,,,,0,
276,Hoisted sail,SAIL2_HOISTEDL,sail2_hoistedl,1,3,,1,0,1,,,,0,
277,Hoisted sail,SAIL2_HOISTEDR,sail2_hoistedr,1,3,,1,0,1,,,,0,
278,Hoisted sail,BACKSAIL_HOISTED,backsail_hoisted,5,1,,1,0,1,,,,0,
279,Hoisted sail,FRONTSAIL_HOISTED,frontsail_hoisted,8,1,,1,0,1,,,,0,
280,null,RUDDER,rudder,1,1,,1,0,0,,,,0,
281,null,SHIPHULL_BROKEN,shiphull_broken,1,1,,1,0,0,,,,0,
282,null,SHIPHULL_FIXED,shiphull_fixed,1,1,,1,0,0,,,,0,
283,null,SHIPHULL_DAMAGED_L,shiphull_damaged_l,1,1,,1,0,0,,,,0,
284,null,SHIPHULL_DAMAGED_R,shiphull_damaged_r,1,1,,1,0,0,,,,0,
285,null,SHIPHULL_DAMAGED_MID,shiphull_damaged_mid,1,1,,1,0,0,,,,0,
286,null,SHIPHULL_DAMAGED_PORTHOLE,shiphull_damaged_porthole,2,1,,1,0,0,,,,0,
287,Ladder,SHIP_LADDERTOP_NOCLIMB,ship_laddertop_noclimb,1,1,Climb-down,1,0,1,,,,0,
288,null,WAKE,wake,1,3,,1,0,0,,,,0,
289,null,WAKE2,wake2,1,3,,0,0,0,,,,0,
290,null,WAKE2_LEFT,wake2_left,1,3,,0,0,0,,,,0,
291,null,SHIP_HOLD_CORNER,ship_hold_corner,1,1,,1,1,0,,,,0,
292,null,SHIP_HOLD_STRAIGHT,ship_hold_straight,1,1,,1,1,0,,,,0,
293,null,HOLD_LADDER_FLOOR,hold_ladder_floor,1,1,,1,1,0,,,,0,
294,null,HOLD_LADDER_FLOOR_2,hold_ladder_floor_2,1,1,,1,1,0,,,,0,
295,null,SHIP_LADDER_NOCLIMB,ship_ladder_noclimb,1,1,,1,0,0,,,,0,
296,Plough,PLOUGH,plough,3,2,,1,0,1,,,,0,
297,Scarecrow,SCARECROW,scarecrow,1,1,,1,0,1,,,,0,
298,Hay bales,HAYSTACK,haystack,2,1,Search,0,0,1,,,,0,
299,Hay bales,HAYSTACK2,haystack2,2,1,Search,0,0,1,,,,0,
